hour,n
16,858
10,277
22,210
17,1031
0,74
18,647
14,427
15,518
8,322
12,426
9,216
13,426
20,285
19,472
11,327
21,306
7,206
1,52
23,155
5,22
6,151
2,24
3,32
4,12
