hour,n
18,650
20,325
19,493
9,233
17,774
7,295
23,151
10,253
13,364
21,263
3,20
6,193
22,187
11,325
8,339
16,577
12,346
15,437
14,335
4,20
2,29
0,105
1,69
5,56
