hour,n
8,317
7,201
13,442
17,881
11,409
18,844
12,457
19,621
6,103
22,266
23,183
0,169
1,106
9,290
10,278
20,409
14,434
15,474
21,356
16,632
5,32
3,25
2,49
4,4
