hour,n
17,818
8,300
22,195
16,868
21,265
19,428
12,615
18,705
9,317
0,127
23,126
14,705
13,678
20,307
11,588
10,375
15,773
7,157
3,18
1,121
6,83
5,22
2,27
4,4
