hour,n
8,661
18,625
0,55
15,812
10,325
23,69
11,474
16,1209
17,1188
20,261
9,455
12,517
21,205
14,500
7,576
19,409
22,147
6,257
13,527
3,19
5,114
1,29
2,22
4,25
