hour,n
8,401
7,334
13,407
16,609
17,767
18,774
12,461
19,570
6,175
23,138
0,109
11,430
14,436
15,444
22,262
9,354
10,312
21,344
1,76
20,350
2,44
3,18
5,40
4,7
