hour,n
20,427
21,384
19,554
16,576
8,227
9,222
5,47
13,428
17,714
10,315
12,415
0,137
18,728
1,121
14,460
23,276
4,30
7,131
15,474
11,339
22,322
2,91
6,104
3,44
