hour,n
15,868
18,716
22,245
16,994
9,461
17,926
21,310
19,494
12,764
20,363
8,690
10,406
13,735
0,144
23,188
14,706
11,654
7,358
1,118
6,193
5,61
2,48
3,23
4,6
