ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual,hour,cluster
52688B344D29D85C,electric_bike,2023-04-04 17:29:11,2023-04-04 17:34:13,,,,,41.89,-87.62,41.88,-87.62,member,17,15
BB9E1783E82C5CEF,electric_bike,2023-04-21 20:38:07,2023-04-21 21:49:52,,,,,41.89,-87.62,41.89,-87.63,member,20,15
D831D140C9BB254C,electric_bike,2023-04-28 16:57:48,2023-04-28 16:59:09,,,,,41.9,-87.62,41.9,-87.62,member,16,15
986740140649D71B,electric_bike,2023-04-27 08:20:38,2023-04-27 08:24:41,,,,,41.89,-87.62,41.88,-87.62,member,08,15
9C407522C4563D56,electric_bike,2023-04-17 17:05:31,2023-04-17 17:15:24,,,,,41.89,-87.63,41.89,-87.62,member,17,15
B7388562B80E7D70,electric_bike,2023-04-18 17:00:28,2023-04-18 17:07:13,,,,,41.89,-87.62,41.89,-87.63,member,17,15
ADBE4891E0092452,electric_bike,2023-04-29 18:16:57,2023-04-29 18:17:08,,,,,41.89,-87.61,41.89,-87.61,member,18,15
0BA1B9158034B97D,electric_bike,2023-04-20 19:38:29,2023-04-20 19:38:53,,,,,41.89,-87.62,41.89,-87.62,member,19,15
32D60B52D0206B3E,electric_bike,2023-04-20 19:37:11,2023-04-20 19:38:15,,,,,41.89,-87.62,41.89,-87.62,member,19,15
4725BE9FC93C171D,electric_bike,2023-04-14 16:48:48,2023-04-14 16:54:55,,,,,41.89,-87.62,41.89,-87.63,member,16,15
68D66AEA69DBEB36,electric_bike,2023-04-11 19:37:15,2023-04-11 19:43:17,,,,,41.89,-87.62,41.89,-87.63,member,19,15
86EFE13F769FD22B,electric_bike,2023-04-24 22:13:35,2023-04-24 22:18:01,,,,,41.89,-87.62,41.88,-87.62,member,22,15
12616745E3876EA2,electric_bike,2023-04-23 20:57:02,2023-04-23 20:57:56,,,,,41.9,-87.62,41.9,-87.62,member,20,15
8B04059E5E4BD95B,electric_bike,2023-04-18 11:59:59,2023-04-18 12:01:05,,,,,41.9,-87.62,41.9,-87.62,member,11,15
C6ADB7F4F89A9BF9,electric_bike,2023-04-26 10:24:35,2023-04-26 10:25:24,,,,,41.89,-87.62,41.89,-87.62,member,10,15
BD3C7E6E29A731FD,electric_bike,2023-04-13 16:53:58,2023-04-13 16:54:54,,,,,41.9,-87.62,41.9,-87.62,member,16,15
6F69F3C9918AB5A5,electric_bike,2023-04-29 10:31:27,2023-04-29 10:37:36,,,,,41.9,-87.62,41.89,-87.61,member,10,15
584F1683688F3BAA,electric_bike,2023-04-26 13:31:27,2023-04-26 13:35:01,,,,,41.89,-87.62,41.89,-87.62,member,13,15
73CB535C571E55CD,electric_bike,2023-04-13 18:45:08,2023-04-13 18:49:38,,,,,41.89,-87.62,41.89,-87.63,member,18,15
4EED52D5141329AF,electric_bike,2023-04-13 17:24:09,2023-04-13 17:25:57,,,,,41.89,-87.61,41.89,-87.61,casual,17,15
5510880F5BC7FF05,electric_bike,2023-04-27 18:15:48,2023-04-27 18:16:25,,,,,41.89,-87.62,41.89,-87.62,member,18,15
F615AED9963548C2,electric_bike,2023-04-27 15:13:38,2023-04-27 15:13:54,,,,,41.89,-87.62,41.89,-87.62,member,15,15
BEDF9F2BDCB66427,electric_bike,2023-04-05 00:21:13,2023-04-05 00:21:33,,,,,41.89,-87.62,41.89,-87.62,member,00,15
581DA5E23B6EA08B,electric_bike,2023-04-02 17:34:36,2023-04-02 17:41:58,,,,,41.89,-87.63,41.89,-87.62,member,17,15
39DAB4323DA2DAAF,electric_bike,2023-04-04 14:47:44,2023-04-04 14:54:07,,,,,41.89,-87.62,41.89,-87.63,member,14,15
4A40BE036CB1FE5F,electric_bike,2023-04-16 14:08:46,2023-04-16 14:08:54,,,,,41.89,-87.62,41.89,-87.62,member,14,15
102D076F4D77A73C,electric_bike,2023-04-11 16:07:12,2023-04-11 16:15:29,,,,,41.9,-87.62,41.89,-87.62,member,16,15
FFDC58713CB52200,electric_bike,2023-04-21 10:29:20,2023-04-21 10:47:30,,,,,41.9,-87.62,41.9,-87.62,member,10,15
DD77E246FD224A83,electric_bike,2023-04-29 17:06:34,2023-04-29 17:13:56,,,,,41.9,-87.62,41.89,-87.62,member,17,15
082BB16B155152ED,electric_bike,2023-04-22 19:18:53,2023-04-22 19:30:27,,,,,41.89,-87.63,41.89,-87.62,casual,19,15
4EFABCDF00678380,electric_bike,2023-04-20 17:41:50,2023-04-20 17:42:58,,,,,41.89,-87.62,41.89,-87.62,member,17,15
D98DFD0C3F1FF8FD,electric_bike,2023-04-28 19:59:58,2023-04-28 20:05:03,,,,,41.89,-87.61,41.89,-87.61,member,19,15
F32D3C7E8F347CF9,electric_bike,2023-04-21 19:36:41,2023-04-21 20:15:42,,,,,41.89,-87.63,41.89,-87.62,member,19,15
2A93E344CD9B9C75,electric_bike,2023-04-21 20:27:26,2023-04-21 20:46:23,,,,,41.89,-87.62,41.89,-87.62,member,20,15
2AFD9CF9C8E9E9FF,electric_bike,2023-04-21 20:50:28,2023-04-21 20:53:37,,,,,41.89,-87.62,41.89,-87.62,member,20,15
F89751A97D35556D,electric_bike,2023-04-19 13:14:24,2023-04-19 13:16:01,,,,,41.89,-87.62,41.89,-87.63,member,13,15
84E33BC6A0B2B562,electric_bike,2023-04-18 17:24:22,2023-04-18 17:56:02,,,,,41.89,-87.63,41.89,-87.62,member,17,15
30919A1F9BF111A0,electric_bike,2023-04-06 19:23:17,2023-04-06 19:33:58,,,,,41.89,-87.61,41.89,-87.62,member,19,15
56C67A5651D52418,electric_bike,2023-04-24 08:09:22,2023-04-24 08:13:27,,,,,41.89,-87.62,41.89,-87.63,member,08,15
7FB53EC68C20A0C3,electric_bike,2023-04-09 20:05:34,2023-04-09 20:16:54,,,,,41.89,-87.61,41.89,-87.63,member,20,15
758A38AA3AA1CF22,electric_bike,2023-04-12 20:29:35,2023-04-12 20:38:26,,,,,41.9,-87.62,41.89,-87.63,member,20,15
987647E35CAB03AD,electric_bike,2023-04-07 18:45:22,2023-04-07 18:45:34,,,,,41.89,-87.62,41.89,-87.62,member,18,15
