hour,n
8,315
7,279
12,527
21,278
11,440
15,630
18,914
19,656
9,302
20,364
14,600
17,969
22,164
6,226
1,67
16,710
13,598
23,142
10,383
2,42
5,73
0,69
4,14
3,19
