hour,n
20,504
21,422
17,885
14,607
19,732
22,329
10,467
8,303
9,338
5,39
13,567
18,944
0,139
16,740
12,526
1,91
23,253
4,33
7,234
11,488
15,669
2,76
6,127
3,43
