hour,n
14,431
16,1264
15,566
17,1344
18,748
19,416
10,282
21,218
13,419
12,333
22,175
6,350
8,815
11,348
1,38
9,403
23,114
20,248
7,757
5,70
2,23
0,80
4,12
3,4
