hour,n
8,527
2,64
7,394
13,583
16,847
14,627
17,1134
18,1172
19,867
12,620
6,195
23,254
0,214
11,566
9,438
10,418
20,558
15,653
22,395
21,515
1,147
5,61
3,31
4,8
