ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual,hour,start-local-coords,end-local-coords,start-local-x,start-local-y,end-local-x,end-local-y,cluster
70FD54168F1BBB6E,electric_bike,2023-04-25T16:50:45,2023-04-25T16:59,,,,,41.89,-87.62,41.89,-87.64,member,16,[359200.57400044356 580131.0421173663],[357540.735751586 580117.4367778355],359200.57400044356,580131.0421173663,357540.735751586,580117.4367778355,66
47D58DBE585B9DC2,electric_bike,2023-04-19T13:45:35,2023-04-19T13:54:54,,,,,41.89,-87.62,41.89,-87.64,member,13,[359200.57400044356 580131.0421173663],[357540.735751586 580117.4367778355],359200.57400044356,580131.0421173663,357540.735751586,580117.4367778355,66
A35E820F951D1CA1,electric_bike,2023-04-26T07:58:33,2023-04-26T08:07:45,,,,,41.9,-87.63,41.88,-87.63,member,7,[358361.54977161903 581234.8849875635],[358379.7579969846 579013.4990875969],358361.54977161903,581234.8849875635,358379.7579969846,579013.4990875969,66
DCE4D84E97238F08,electric_bike,2023-04-18T06:50:56,2023-04-18T07:01:02,,,,,41.9,-87.63,41.88,-87.63,member,6,[358361.54977161903 581234.8849875635],[358379.7579969846 579013.4990875969],358361.54977161903,581234.8849875635,358379.7579969846,579013.4990875969,66
6F93DDEE01CBF170,electric_bike,2023-04-20T10:11:34,2023-04-20T10:18:53,,,,,41.89,-87.63,41.88,-87.63,member,10,[358370.6547779136 580124.1910816967],[358379.7579969846 579013.4990875969],358370.6547779136,580124.1910816967,358379.7579969846,579013.4990875969,66
A31D53BEE5ED7E50,electric_bike,2023-04-12T13:08:14,2023-04-12T13:12:11,,,,,41.89,-87.63,41.88,-87.63,member,13,[358370.6547779136 580124.1910816967],[358379.7579969846 579013.4990875969],358370.6547779136,580124.1910816967,358379.7579969846,579013.4990875969,66
898B6560DE2705EB,electric_bike,2023-04-13T20:38:26,2023-04-13T20:42:54,,,,,41.89,-87.63,41.88,-87.64,member,20,[358370.6547779136 580124.1910816967],[357549.7095260857 579006.7450448658],358370.6547779136,580124.1910816967,357549.7095260857,579006.7450448658,66
34641BEA8CF50F49,electric_bike,2023-04-13T13:41:56,2023-04-13T13:57:44,,,,,41.9,-87.62,41.88,-87.63,member,13,[359191.33952352084 581241.7362872637],[358379.7579969846 579013.4990875969],359191.33952352084,581241.7362872637,358379.7579969846,579013.4990875969,66
6FEA91E7CE5C2FBB,electric_bike,2023-04-24T17:52:01,2023-04-24T17:59:09,,,,,41.9,-87.63,41.88,-87.63,member,17,[358361.54977161903 581234.8849875635],[358379.7579969846 579013.4990875969],358361.54977161903,581234.8849875635,358379.7579969846,579013.4990875969,66
0A7936438B399FDB,electric_bike,2023-04-07T13:34:51,2023-04-07T13:44:51,,,,,41.89,-87.63,41.88,-87.64,casual,13,[358370.6547779136 580124.1910816967],[357549.7095260857 579006.7450448658],358370.6547779136,580124.1910816967,357549.7095260857,579006.7450448658,66
