hour,n
8,472
0,67
18,764
22,171
21,280
19,636
16,963
14,694
20,377
17,869
15,778
10,596
1,66
11,583
12,716
9,659
13,705
23,129
6,107
7,188
5,45
4,9
2,19
3,9
