hour,n
7,690
8,855
13,417
18,466
9,390
12,343
16,456
6,415
21,148
20,192
14,428
2,9
17,535
15,449
19,321
11,331
0,34
10,314
22,111
5,72
23,50
1,11
4,5
3,3
