hour,n
4,16
19,732
21,502
16,903
23,158
22,314
17,1034
10,538
20,659
12,701
5,20
11,604
8,452
2,52
3,37
18,869
7,176
13,711
15,883
9,450
14,762
0,136
6,85
1,69
