ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual,hour,start-local-coords,end-local-coords,start-local-x,start-local-y,end-local-x,end-local-y,cluster
D0851F6357674EA9,electric_bike,2023-04-20T11:31:46,2023-04-20T11:33:53,,,,,41.79,-87.6,41.79,-87.6,member,11,[506137.42192310654 -1.4235316240199374E7],[506137.42192310654 -1.4235316240199374E7],506137.42192310654,-1.4235316240199374E7,506137.42192310654,-1.4235316240199374E7,32
8A9EFB2509B1F91F,electric_bike,2023-04-24T10:23:38,2023-04-24T10:26:24,,,,,41.79,-87.6,41.79,-87.6,member,10,[506137.42192310654 -1.4235316240199374E7],[506137.42192310654 -1.4235316240199374E7],506137.42192310654,-1.4235316240199374E7,506137.42192310654,-1.4235316240199374E7,32
002104DE03FEACE6,electric_bike,2023-04-11T15:06:59,2023-04-11T15:11:07,,,,,41.79,-87.6,41.78,-87.61,member,15,[506137.42192310654 -1.4235316240199374E7],[505289.1510442379 -1.4234540216485925E7],506137.42192310654,-1.4235316240199374E7,505289.1510442379,-1.4234540216485925E7,32
687AC67D4F871AD0,electric_bike,2023-04-17T16:27:17,2023-04-17T16:31:48,,,,,41.79,-87.6,41.79,-87.6,member,16,[506137.42192310654 -1.4235316240199374E7],[506137.42192310654 -1.4235316240199374E7],506137.42192310654,-1.4235316240199374E7,506137.42192310654,-1.4235316240199374E7,32
69D2787154DDB602,electric_bike,2023-04-17T15:49:12,2023-04-17T15:53:45,,,,,41.78,-87.6,41.79,-87.6,member,15,[506166.90536501224 -1.4235279480751079E7],[506137.42192310654 -1.4235316240199374E7],506166.90536501224,-1.4235279480751079E7,506137.42192310654,-1.4235316240199374E7,32
598CBDD7B2472B8A,electric_bike,2023-04-15T14:25:03,2023-04-15T14:28,,,,,41.79,-87.6,41.79,-87.6,member,14,[506137.42192310654 -1.4235316240199374E7],[506137.42192310654 -1.4235316240199374E7],506137.42192310654,-1.4235316240199374E7,506137.42192310654,-1.4235316240199374E7,32
B9E347D7C10F7B0C,electric_bike,2023-04-06T22:05:49,2023-04-06T22:12,,,,,41.78,-87.61,41.78,-87.59,member,22,[505289.1510442379 -1.4234540216485925E7],[507044.8903635831 -1.4236018910461823E7],505289.1510442379,-1.4234540216485925E7,507044.8903635831,-1.4236018910461823E7,32
264C226867E8A7F2,electric_bike,2023-04-10T15:00:03,2023-04-10T15:04:34,,,,,41.79,-87.6,41.78,-87.61,member,15,[506137.42192310654 -1.4235316240199374E7],[505289.1510442379 -1.4234540216485925E7],506137.42192310654,-1.4235316240199374E7,505289.1510442379,-1.4234540216485925E7,32
0C243618E55EAB2D,electric_bike,2023-04-13T00:19:14,2023-04-13T00:25:56,,,,,41.8,-87.59,41.78,-87.6,member,0,[506985.69565188827 -1.4236092750292987E7],[506166.90536501224 -1.4235279480751079E7],506985.69565188827,-1.4236092750292987E7,506166.90536501224,-1.4235279480751079E7,32
43F45431DD9DA640,electric_bike,2023-04-27T15:12:22,2023-04-27T15:12:26,,,,,41.79,-87.6,41.79,-87.6,member,15,[506137.42192310654 -1.4235316240199374E7],[506137.42192310654 -1.4235316240199374E7],506137.42192310654,-1.4235316240199374E7,506137.42192310654,-1.4235316240199374E7,32
