ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual,hour,cluster
8B7FA33702828048,electric_bike,2023-04-26T17:30:34,2023-04-26T17:31:57,,,,,41.9,-87.63,41.9,-87.63,member,17,13
803B8FDD6222DD51,electric_bike,2023-04-27T18:58:20,2023-04-27T19:00:17,,,,,41.9,-87.64,41.9,-87.63,member,18,13
7E510C673F6F4D9D,electric_bike,2023-04-05T19:02:51,2023-04-05T19:11:18,,,,,41.9,-87.64,41.9,-87.63,member,19,13
D308525136A804FF,electric_bike,2023-04-22T17:25:55,2023-04-22T17:27:57,,,,,41.9,-87.64,41.9,-87.63,member,17,13
DB6CBE688456DEC6,electric_bike,2023-04-26T07:43:03,2023-04-26T07:48:38,,,,,41.91,-87.63,41.9,-87.63,member,7,13
175322786271A9F1,electric_bike,2023-04-21T08:06:16,2023-04-21T08:18:58,,,,,41.91,-87.64,41.88,-87.63,member,8,13
A5D606EF433ECA35,electric_bike,2023-04-04T19:27:51,2023-04-04T19:30:46,,,,,41.9,-87.63,41.9,-87.62,member,19,13
2C8B95E31A6EA42F,electric_bike,2023-04-04T23:48:15,2023-04-04T23:49:54,,,,,41.9,-87.63,41.89,-87.63,member,23,13
560BC970867A1A50,electric_bike,2023-04-11T19:36:23,2023-04-11T19:37:24,,,,,41.9,-87.63,41.9,-87.63,member,19,13
833FC2A628BC9F9C,electric_bike,2023-04-22T21:54:05,2023-04-22T21:55:17,,,,,41.9,-87.63,41.9,-87.63,member,21,13
AF4DA6B37E2CE0CC,electric_bike,2023-04-27T07:36:30,2023-04-27T07:47:58,,,,,41.91,-87.63,41.88,-87.64,member,7,13
F620E989952E6F2B,electric_bike,2023-04-15T12:45:45,2023-04-15T12:46:30,,,,,41.9,-87.63,41.9,-87.63,member,12,13
FB020AD2A649ED7E,electric_bike,2023-04-14T17:30:56,2023-04-14T17:34:21,,,,,41.9,-87.63,41.9,-87.63,member,17,13
06401DFCD045251B,electric_bike,2023-04-09T16:45:18,2023-04-09T16:51:27,,,,,41.9,-87.63,41.9,-87.63,member,16,13
6E92197A3DBEBCF0,electric_bike,2023-04-16T17:50:09,2023-04-16T17:52:47,,,,,41.91,-87.63,41.9,-87.63,member,17,13
2C64E7C961DFC98E,electric_bike,2023-04-07T00:02:16,2023-04-07T00:05:45,,,,,41.9,-87.63,41.9,-87.63,member,0,13
47E5DEFD5096F165,electric_bike,2023-04-07T18:15:57,2023-04-07T18:22:23,,,,,41.9,-87.64,41.9,-87.63,member,18,13
E1D2E31EA4ABD0A9,electric_bike,2023-04-14T19:11:59,2023-04-14T19:18:46,,,,,41.9,-87.63,41.89,-87.63,member,19,13
