hour,n
15,778
18,484
9,414
16,990
17,782
20,212
0,45
8,719
10,291
23,81
13,535
21,201
22,131
14,524
12,513
11,462
7,543
19,366
1,33
6,237
5,143
2,14
3,12
4,30
