language,html_url,date,all-commits,committer,commits
Clojure,https://github.com/reagent-project/reagent,2013-12-16,5.0,rank-0,5
Clojure,https://github.com/reagent-project/reagent,2013-12-17,14.0,rank-0,14
Clojure,https://github.com/reagent-project/reagent,2013-12-18,18.0,rank-0,18
Clojure,https://github.com/reagent-project/reagent,2013-12-19,23.0,rank-0,23
Clojure,https://github.com/reagent-project/reagent,2013-12-20,26.0,rank-0,26
Clojure,https://github.com/reagent-project/reagent,2014-01-02,31.0,rank-0,31
Clojure,https://github.com/reagent-project/reagent,2014-01-03,38.0,rank-0,38
Clojure,https://github.com/reagent-project/reagent,2014-01-04,40.0,rank-0,40
Clojure,https://github.com/reagent-project/reagent,2014-01-05,44.0,rank-0,44
Clojure,https://github.com/reagent-project/reagent,2014-01-06,51.0,rank-0,51
Clojure,https://github.com/reagent-project/reagent,2014-01-07,57.0,rank-0,57
Clojure,https://github.com/reagent-project/reagent,2014-01-08,62.0,rank-0,62
Clojure,https://github.com/reagent-project/reagent,2014-01-09,66.0,rank-0,66
Clojure,https://github.com/reagent-project/reagent,2014-01-10,72.0,rank-0,72
Clojure,https://github.com/reagent-project/reagent,2014-01-11,73.0,rank-0,73
Clojure,https://github.com/reagent-project/reagent,2014-01-17,78.0,rank-0,78
Clojure,https://github.com/reagent-project/reagent,2014-01-18,80.0,rank-0,80
Clojure,https://github.com/reagent-project/reagent,2014-01-19,83.0,rank-0,83
Clojure,https://github.com/reagent-project/reagent,2014-01-20,88.0,rank-0,88
Clojure,https://github.com/reagent-project/reagent,2014-01-21,89.0,rank-0,89
Clojure,https://github.com/reagent-project/reagent,2014-01-22,90.0,rank-0,90
Clojure,https://github.com/reagent-project/reagent,2014-01-24,93.0,rank-0,93
Clojure,https://github.com/reagent-project/reagent,2014-01-25,95.0,rank-0,95
Clojure,https://github.com/reagent-project/reagent,2014-01-26,96.0,rank-0,96
Clojure,https://github.com/reagent-project/reagent,2014-01-27,100.0,rank-0,100
Clojure,https://github.com/reagent-project/reagent,2014-01-28,105.0,rank-0,105
Clojure,https://github.com/reagent-project/reagent,2014-01-29,108.0,rank-0,108
Clojure,https://github.com/reagent-project/reagent,2014-01-30,110.0,rank-0,110
Clojure,https://github.com/reagent-project/reagent,2014-02-02,112.0,rank-0,112
Clojure,https://github.com/reagent-project/reagent,2014-02-03,120.0,rank-0,120
Clojure,https://github.com/reagent-project/reagent,2014-02-08,122.0,rank-0,122
Clojure,https://github.com/reagent-project/reagent,2014-02-09,128.0,rank-0,125
Clojure,https://github.com/reagent-project/reagent,2014-02-10,136.0,rank-0,133
Clojure,https://github.com/reagent-project/reagent,2014-02-11,147.0,rank-0,144
Clojure,https://github.com/reagent-project/reagent,2014-02-12,148.0,rank-0,145
Clojure,https://github.com/reagent-project/reagent,2014-02-14,152.0,rank-0,149
Clojure,https://github.com/reagent-project/reagent,2014-02-15,159.0,rank-0,156
