language,html_url,date,all-commits,committer,commits
Clojure,https://github.com/cognitect-labs/aws-api,2018-08-03,1.0,rank-0,1
Clojure,https://github.com/cognitect-labs/aws-api,2018-09-28,3.0,rank-0,3
Clojure,https://github.com/cognitect-labs/aws-api,2018-09-29,4.0,rank-0,4
Clojure,https://github.com/cognitect-labs/aws-api,2018-11-01,10.0,rank-0,10
Clojure,https://github.com/cognitect-labs/aws-api,2018-11-02,13.0,rank-0,13
Clojure,https://github.com/cognitect-labs/aws-api,2018-11-04,22.0,rank-0,20
Clojure,https://github.com/cognitect-labs/aws-api,2018-11-05,30.0,rank-0,28
Clojure,https://github.com/cognitect-labs/aws-api,2018-11-07,40.0,rank-0,31
Clojure,https://github.com/cognitect-labs/aws-api,2018-11-08,42.0,rank-0,33
Clojure,https://github.com/cognitect-labs/aws-api,2018-11-09,48.0,rank-0,39
Clojure,https://github.com/cognitect-labs/aws-api,2018-11-10,52.0,rank-0,43
Clojure,https://github.com/cognitect-labs/aws-api,2018-11-11,55.0,rank-0,46
Clojure,https://github.com/cognitect-labs/aws-api,2018-11-12,56.0,rank-0,47
Clojure,https://github.com/cognitect-labs/aws-api,2018-11-13,57.0,rank-0,48
Clojure,https://github.com/cognitect-labs/aws-api,2018-11-16,72.0,rank-0,63
Clojure,https://github.com/cognitect-labs/aws-api,2018-11-19,74.0,rank-0,65
Clojure,https://github.com/cognitect-labs/aws-api,2018-11-20,79.0,rank-0,70
Clojure,https://github.com/cognitect-labs/aws-api,2018-11-21,86.0,rank-0,77
Clojure,https://github.com/cognitect-labs/aws-api,2018-11-22,92.0,rank-0,83
Clojure,https://github.com/cognitect-labs/aws-api,2018-11-23,102.0,rank-0,93
Clojure,https://github.com/cognitect-labs/aws-api,2018-11-24,106.0,rank-0,96
Clojure,https://github.com/cognitect-labs/aws-api,2018-11-25,109.0,rank-0,99
Clojure,https://github.com/cognitect-labs/aws-api,2018-11-27,111.0,rank-0,101
Clojure,https://github.com/cognitect-labs/aws-api,2018-11-28,112.0,rank-0,102
Clojure,https://github.com/cognitect-labs/aws-api,2018-11-29,124.0,rank-0,114
Clojure,https://github.com/cognitect-labs/aws-api,2018-12-01,129.0,rank-0,119
Clojure,https://github.com/cognitect-labs/aws-api,2018-12-02,132.0,rank-0,122
Clojure,https://github.com/cognitect-labs/aws-api,2018-12-03,134.0,rank-0,124
Clojure,https://github.com/cognitect-labs/aws-api,2018-12-04,138.0,rank-0,128
Clojure,https://github.com/cognitect-labs/aws-api,2018-12-05,139.0,rank-0,129
Clojure,https://github.com/cognitect-labs/aws-api,2018-12-06,144.0,rank-0,134
Clojure,https://github.com/cognitect-labs/aws-api,2018-12-07,145.0,rank-0,135
