language,html_url,total-commits,total-other-commits,other-ratio,lifespan,size,owner,stargazers_count,log-stargazers-count,log-total-commits,log-total-other-commits,log-total-other-commits-prediction
Clojure,https://github.com/tonsky/FiraCode,586.0,134.0,0.22866894197952217,P8Y11M28D,88621,tonsky,73546,11.205666339778414,6.375024819828097,4.90527477843843,7.722350738737642
Clojure,https://github.com/metabase/metabase,28905.0,16868.0,0.5835668569451652,P8Y10M,444003,metabase,35046,10.464416763268364,10.271804465008787,9.733232896960311,7.122424706481034
Clojure,https://github.com/logseq/logseq,12398.0,4006.0,0.3231166317147927,P3Y11M22D,110199,logseq,26838,10.197574072660903,9.425371103179842,8.295798110636145,6.9064571272932955
Clojure,https://github.com/penpot/penpot,11659.0,1760.0,0.15095634273951453,P8Y5M13D,119515,penpot,24400,10.102338411281293,9.363919459904483,7.473637108496206,6.829378698824167
Clojure,https://github.com/LightTable/LightTable,1313.0,364.0,0.27722772277227725,P7Y11M21D,19648,LightTable,11732,9.37007543009734,7.1808311990445555,5.8998973535824915,6.236725915211915
Clojure,https://github.com/clojure/clojurescript,6151.0,1874.0,0.30466590798244186,P12Y5M15D,18438,clojure,9145,9.120962560824966,8.72453251118548,7.536363938404511,6.035107863771978
Clojure,https://github.com/technomancy/leiningen,4975.0,1735.0,0.3487437185929648,P12Y9M10D,7183,technomancy,7304,8.896177422274805,8.512381634419015,7.459338895220296,5.853179319656553
Clojure,https://github.com/omcljs/om,1966.0,25.0,0.01271617497456765,P6Y4M8D,2181,omcljs,6662,8.804175018753625,7.584264818389059,3.258096538021482,5.778717709624477
Clojure,https://github.com/jepsen-io/jepsen,3116.0,556.0,0.17843388960205392,P10Y6M5D,46770,jepsen-io,6390,8.762489547371581,8.044626279767337,6.322565239927284,5.744979815881967
Clojure,https://github.com/athensresearch/athens,4647.0,397.0,0.08543146115773617,P2Y8M12D,78287,athensresearch,6331,8.753213480544126,8.444192298531748,5.986452005284438,5.737472285162093
Clojure,https://github.com/overtone/overtone,3119.0,317.0,0.10163513946777814,P14Y2M24D,8808,overtone,5729,8.653296274408579,8.045588280803528,5.762051382780177,5.656604875681353
Clojure,https://github.com/day8/re-frame,2761.0,593.0,0.21477725461789207,P8Y11M17D,68317,day8,5345,8.583916823459145,7.923710333969238,6.386879319362645,5.600453020695879
Clojure,https://github.com/tonsky/datascript,724.0,114.0,0.1574585635359116,P9Y7M6D,1808,tonsky,5248,8.565602330623925,6.586171654854675,4.74493212836325,5.585630292470986
Clojure,https://github.com/reagent-project/reagent,1550.0,163.0,0.10516129032258065,P9Y2M23D,3979,reagent-project,4686,8.452334619067742,7.346655163176539,5.099866427824199,5.493957729099524
Clojure,https://github.com/riemann/riemann,1795.0,513.0,0.2857938718662953,P11Y8M22D,7531,riemann,4186,8.339500903005945,7.493317248862145,6.2422232654551655,5.402636417456517
Clojure,https://github.com/weavejester/compojure,964.0,81.0,0.08402489626556017,P15Y7D,5863,weavejester,4043,8.304742269640771,6.872128101338986,4.406719247264253,5.374504719763536
Clojure,https://github.com/status-im/status-mobile,8814.0,5835.0,0.6620149761742682,P7Y9M9D,490087,status-im,3746,8.228443883004033,9.08421009483197,8.671800909642677,5.312753064432993
Clojure,https://github.com/functional-koans/clojure-koans,359.0,85.0,0.23676880222841226,P12Y11M2D,282,functional-koans,3696,8.215006432761575,5.886104031450156,4.454347296253507,5.301877542256564
Clojure,https://github.com/ring-clojure/ring,1191.0,214.0,0.17968094038623006,P14Y9M25D,7309,ring-clojure,3661,8.205491613120236,7.083387847625295,5.3706380281276624,5.294176778335807
Clojure,https://github.com/babashka/babashka,3833.0,198.0,0.05165666579702583,P4Y3M22D,11154,babashka,3632,8.197538739721184,8.251663923605589,5.293304824724492,5.287740166519047
Clojure,https://github.com/magomimmo/modern-cljs,2010.0,267.0,0.1328358208955224,P5Y3M14D,34172,magomimmo,2928,7.982074875081202,7.606387389772652,5.5909869805108565,5.113355741212889
Clojure,https://github.com/quil/quil,1336.0,207.0,0.15494011976047903,P15Y2M25D,10385,quil,2903,7.97349996402463,7.198183577101943,5.337538079701318,5.106415686836948
Clojure,https://github.com/bhauman/lein-figwheel,1849.0,124.0,0.0670632774472688,P6Y6M27D,3739,bhauman,2885,7.9672801789422,7.52294091807237,4.8283137373023015,5.101381739966369
Clojure,https://github.com/swarmpit/swarmpit,1988.0,35.0,0.017605633802816902,P6Y3M5D,6845,swarmpit,2805,7.9391588179567965,7.5953872788539725,3.58351893845611,5.078621880059183
Clojure,https://github.com/Engelberg/instaparse,812.0,47.0,0.05788177339901478,P9Y3M3D,1174,Engelberg,2676,7.892078421248119,6.70073110954781,3.871201010907891,5.040517634890524
Clojure,https://github.com/pedestal/pedestal,1886.0,658.0,0.3488865323435843,P10Y8M23D,5273,pedestal,2626,7.873217054862741,7.54274354536855,6.490723534502507,5.025252297739449
Clojure,https://github.com/razum2um/awesome-clojure,280.0,150.0,0.5357142857142857,P9Y4M4D,205,razum2um,2603,7.864419904994565,5.638354669333745,5.017279836814924,5.018132375674293
Clojure,https://github.com/weavejester/hiccup,310.0,39.0,0.12580645161290321,P13Y11M3D,464,weavejester,2587,7.8582541821860294,5.739792912179234,3.6888794541139363,5.013142183790562
Clojure,https://github.com/clojure-cookbook/clojure-cookbook,1973.0,758.0,0.3841865179929042,P5Y2M,11402,clojure-cookbook,2553,7.845024417241484,7.587817219993427,6.63200177739563,5.002434750501713
Clojure,https://github.com/clj-commons/aleph,1850.0,234.0,0.1264864864864865,P13Y4M16D,3426,clj-commons,2495,7.822044008185619,7.523481312573497,5.459585514144159,4.9838356901293235
Clojure,https://github.com/redplanetlabs/specter,879.0,38.0,0.04323094425483504,P7Y20D,1978,redplanetlabs,2471,7.81237820598861,6.779921907472252,3.6635616461296463,4.976012729355531
Clojure,https://github.com/xtdb/xtdb,7476.0,1660.0,0.22204387372926698,P5Y8M10D,206716,xtdb,2384,7.776535028185241,8.919586920999915,7.415175109613295,4.947003261931233
Clojure,https://github.com/plumatic/schema,967.0,184.0,0.19027921406411583,P9Y10M3D,3280,plumatic,2382,7.775695749915245,6.875232087276577,5.220355825078324,4.946323996946221
Clojure,https://github.com/jepsen-io/maelstrom,339.0,35.0,0.10324483775811209,P6Y7M13D,1233,jepsen-io,2305,7.742835955430749,5.8289456176102075,3.58351893845611,4.919729113454123
Clojure,https://github.com/adamtornhill/code-maat,365.0,25.0,0.0684931506849315,P9Y9M24D,1382,adamtornhill,2264,7.724888439323074,5.902633333401366,3.258096538021482,4.9052033957086465
Clojure,https://github.com/incanter/incanter,1595.0,569.0,0.3567398119122257,P14Y7M30D,42571,incanter,2220,7.705262474866325,7.3752557780097545,6.345636360828596,4.889319235556837
Clojure,https://github.com/thheller/shadow-cljs,3013.0,69.0,0.022900763358778626,P8Y1M13D,8604,thheller,2159,7.677400430514807,8.01102337918644,4.248495242049359,4.866769252058619
Clojure,https://github.com/onyx-platform/onyx,6828.0,201.0,0.029437609841827767,P5Y8M4D,17013,onyx-platform,2046,7.6236419465115715,8.82893352896109,5.308267697401205,4.823260135790335
Clojure,https://github.com/clojure/core.async,687.0,268.0,0.3901018922852984,P10Y2M30D,1474,clojure,1923,7.56164174558878,6.5337888379333435,5.594711379601839,4.773080633882426
Clojure,https://github.com/anmonteiro/lumo,670.0,21.0,0.03134328358208955,P3Y3M21D,20392,anmonteiro,1888,7.543273346705446,6.508769136971682,3.091042453358316,4.75821427711111
Clojure,https://github.com/walmartlabs/lacinia,1400.0,219.0,0.15642857142857142,P6Y6M2D,3617,walmartlabs,1791,7.490529402060711,7.244941546337007,5.393627546352362,4.715526272370175
