language,html_url,total-commits,total-other-commits
Clojure,https://github.com/reifyhealth/specmonstah,294.0,34.0
Clojure,https://github.com/metosin/kekkonen,593.0,6.0
Clojure,https://github.com/clj-commons/kibit,467.0,107.0
Clojure,https://github.com/weavejester/hiccup,310.0,39.0
Clojure,https://github.com/magnars/optimus,278.0,15.0
Clojure,https://github.com/binaryage/cljs-devtools,861.0,4.0
Python,https://github.com/PaddlePaddle/PaddleSlim,1230.0,489.0
Clojure,https://github.com/bensu/doo,409.0,42.0
Python,https://github.com/qtile/qtile,5249.0,2700.0
Clojure,https://github.com/bevuta/pepa,526.0,11.0
Clojure,https://github.com/clojure/data.xml,272.0,53.0
Python,https://github.com/iver56/audiomentations,1107.0,103.0
Python,https://github.com/baal-org/baal,222.0,20.0
Clojure,https://github.com/liquidz/antq,1136.0,24.0
Python,https://github.com/python-xlib/python-xlib,591.0,175.0
Clojure,https://github.com/cognitect/transit-clj,339.0,46.0
Clojure,https://github.com/Clojure2D/clojure2d,571.0,1.0
Clojure,https://github.com/semperos/clj-webdriver,1057.0,23.0
Python,https://github.com/etesync/server,550.0,37.0
Python,https://github.com/mcedit/mcedit,1178.0,62.0
Python,https://github.com/marcospereirampj/python-keycloak,814.0,334.0
Clojure,https://github.com/metabase/metabase,28905.0,16868.0
Clojure,https://github.com/FieryCod/holy-lambda,552.0,4.0
Clojure,https://github.com/metosin/muuntaja,851.0,110.0
Python,https://github.com/baderj/domain_generation_algorithms,222.0,12.0
Python,https://github.com/dipy/dipy,13557.0,6434.0
Python,https://github.com/mrakgr/The-Spiral-Language,7444.0,4.0
Clojure,https://github.com/mhuebert/maria,1326.0,10.0
Python,https://github.com/RobertCraigie/prisma-client-py,790.0,23.0
Clojure,https://github.com/replikativ/konserve,315.0,68.0
Clojure,https://github.com/cerner/clara-rules,654.0,68.0
Python,https://github.com/superdesk/superdesk,9260.0,4802.0
Clojure,https://github.com/mentat-collective/emmy,1224.0,22.0
Python,https://github.com/milesrichardson/ParsePy,270.0,105.0
Python,https://github.com/nonebot/nonebot,689.0,51.0
Clojure,https://github.com/immutant/immutant,2584.0,26.0
Clojure,https://github.com/clojure/core.logic,1957.0,123.0
Clojure,https://github.com/taoensso/sente,623.0,51.0
Python,https://github.com/mbadry1/DeepLearning.ai-Summary,440.0,31.0
Python,https://github.com/taizilongxu/douban.fm,487.0,21.0
Clojure,https://github.com/clojure/test.check,630.0,80.0
Clojure,https://github.com/r0man/inflections-clj,411.0,19.0
Clojure,https://github.com/juji-io/datalevin,2130.0,124.0
Clojure,https://github.com/pedestal/pedestal,1886.0,658.0
Clojure,https://github.com/clojure/tools.nrepl,359.0,25.0
Clojure,https://github.com/michaelklishin/langohr,1263.0,78.0
Clojure,https://github.com/clj-jgit/clj-jgit,303.0,41.0
Clojure,https://github.com/richhickey/clojure-contrib,1083.0,195.0
Python,https://github.com/formspree/formspree,863.0,60.0
Python,https://github.com/tylertreat/BigQuery-Python,359.0,117.0
Python,https://github.com/webpy/webpy,1070.0,264.0
Clojure,https://github.com/oliyh/martian,375.0,30.0
Clojure,https://github.com/scicloj/notespace,637.0,3.0
Python,https://github.com/Palashio/libra,1367.0,327.0
Python,https://github.com/dswah/pyGAM,713.0,8.0
Python,https://github.com/sublime-emacs/sublemacspro,295.0,28.0
Clojure,https://github.com/Deep-Symmetry/dysentery,504.0,5.0
Python,https://github.com/bookieio/Bookie,5226.0,483.0
Python,https://github.com/mpdavis/python-jose,657.0,159.0
Clojure,https://github.com/cgrand/enlive,321.0,24.0
Clojure,https://github.com/juji-io/editscript,229.0,1.0
Clojure,https://github.com/cfpb/qu,899.0,102.0
Clojure,https://github.com/xtdb/xtdb,7476.0,1660.0
Clojure,https://github.com/redplanetlabs/specter,879.0,38.0
Python,https://github.com/jazzband/django-nose,379.0,183.0
Clojure,https://github.com/seancorfield/honeysql,1099.0,145.0
Clojure,https://github.com/congomongo/congomongo,527.0,146.0
Python,https://github.com/pulp/pulp,19456.0,9403.0
Clojure,https://github.com/puniverse/pulsar,693.0,23.0
Python,https://github.com/RimoChan/Librian,480.0,3.0
Clojure,https://github.com/gfredericks/test.chuck,304.0,23.0
Clojure,https://github.com/yogthos/Selmer,818.0,131.0
Clojure,https://github.com/bhauman/figwheel-main,777.0,75.0
Clojure,https://github.com/thheller/shadow-cljs,3013.0,69.0
Clojure,https://github.com/4clojure/4clojure,1030.0,163.0
Clojure,https://github.com/cognitect-labs/vase,402.0,51.0
Clojure,https://github.com/walmartlabs/lacinia,1400.0,219.0
Clojure,https://github.com/clojure/tools.namespace,296.0,23.0
Python,https://github.com/nucypher/zerodb,1016.0,94.0
Python,https://github.com/tony9402/baekjoon,3641.0,124.0
Python,https://github.com/OfflineIMAP/offlineimap,2415.0,394.0
Clojure,https://github.com/Tensegritics/ClojureDart,1570.0,66.0
Clojure,https://github.com/nextjournal/clerk,975.0,71.0
Python,https://github.com/benoitc/restkit,931.0,56.0
Python,https://github.com/danirus/django-comments-xtd,746.0,106.0
Clojure,https://github.com/Swirrl/grafter,1053.0,45.0
Clojure,https://github.com/pyr/cyanite,438.0,48.0
Python,https://github.com/tschellenbach/Stream-Framework,1508.0,35.0
Python,https://github.com/richardbarran/django-photologue,1794.0,212.0
Python,https://github.com/SimonShi1994/Princess-connection-farm,2126.0,647.0
Python,https://github.com/ethereum/py-evm,3623.0,1249.0
Clojure,https://github.com/clj-commons/metrics-clojure,451.0,111.0
Clojure,https://github.com/sicmutils/sicmutils,1188.0,19.0
Python,https://github.com/Kozea/WeasyPrint,5181.0,562.0
Python,https://github.com/pybites/100DaysOfCode,278.0,9.0
Clojure,https://github.com/gojek/ziggurat,1302.0,462.0
Clojure,https://github.com/jacekschae/shadow-cljs-tailwindcss,297.0,1.0
Clojure,https://github.com/juxt/tick,756.0,60.0
Python,https://github.com/agschwender/pilbox,295.0,22.0
Python,https://github.com/miracle2k/webassets,1418.0,312.0
Clojure,https://github.com/clj-commons/useful,559.0,22.0
Clojure,https://github.com/swarmpit/swarmpit,1988.0,35.0
Python,https://github.com/los-cocos/cocos,2612.0,190.0
Clojure,https://github.com/suprematic/otplike,585.0,1.0
Python,https://github.com/django-getpaid/django-getpaid,405.0,55.0
Python,https://github.com/crazyhottommy/RNA-seq-analysis,322.0,1.0
Python,https://github.com/radiac/django-tagulous,552.0,27.0
Clojure,https://github.com/oakes/play-clj,808.0,18.0
Python,https://github.com/overviewer/Minecraft-Overviewer,3029.0,850.0
Clojure,https://github.com/clj-commons/pretty,423.0,33.0
Python,https://github.com/nchammas/flintrock,479.0,22.0
Clojure,https://github.com/CoNarrative/precept,490.0,1.0
Python,https://github.com/floooh/fips,1025.0,40.0
Clojure,https://github.com/fulcrologic/fulcro-rad,915.0,35.0
Python,https://github.com/swar/nba_api,331.0,47.0
Clojure,https://github.com/bhauman/devcards,509.0,46.0
Clojure,https://github.com/mjul/docjure,289.0,60.0
Python,https://github.com/DEAP/deap,2332.0,200.0
Clojure,https://github.com/puppetlabs/trapperkeeper,975.0,381.0
Python,https://github.com/StamusNetworks/scirius,3339.0,171.0
Clojure,https://github.com/tendant/graphql-clj,709.0,7.0
Python,https://github.com/respondcreate/django-versatileimagefield,547.0,72.0
Python,https://github.com/kivy/kivy-designer,491.0,86.0
Python,https://github.com/Evil0ctal/Douyin_TikTok_Download_API,877.0,18.0
Clojure,https://github.com/clojure/java.jdbc,788.0,27.0
Python,https://github.com/asappresearch/sru,400.0,34.0
Python,https://github.com/gboudreau/XBMCnfoMoviesImporter.bundle,240.0,27.0
Clojure,https://github.com/metosin/reitit,1832.0,256.0
Python,https://github.com/mongomock/mongomock,1117.0,547.0
Python,https://github.com/Hipo/drf-extra-fields,400.0,210.0
Python,https://github.com/DjangoGirls/djangogirls,2406.0,916.0
Clojure,https://github.com/amitrathore/swarmiji,236.0,10.0
Python,https://github.com/datamade/usaddress,433.0,39.0
Python,https://github.com/cloudtools/stacker,1298.0,273.0
Clojure,https://github.com/ckirkendall/enfocus,419.0,18.0
Python,https://github.com/cozy/cozy-setup,682.0,146.0
Clojure,https://github.com/djblue/portal,1798.0,69.0
Clojure,https://github.com/jgrodziski/keycloak-clojure,533.0,14.0
Python,https://github.com/titoBouzout/Dictionaries,224.0,101.0
Python,https://github.com/google/fplutil,290.0,52.0
Clojure,https://github.com/slagyr/speclj,465.0,96.0
Clojure,https://github.com/clojure/core.async,687.0,268.0
Python,https://github.com/makerbot/ReplicatorG,2959.0,1586.0
Clojure,https://github.com/arohner/spectrum,797.0,5.0
Clojure,https://github.com/babashka/babashka,3833.0,198.0
Clojure,https://github.com/clojure/core.cache,233.0,19.0
Clojure,https://github.com/clj-commons/gloss,274.0,34.0
Python,https://github.com/PaulSonOfLars/tgbot,529.0,11.0
Clojure,https://github.com/threatgrid/asami,832.0,10.0
Clojure,https://github.com/mcohen01/amazonica,916.0,188.0
Clojure,https://github.com/tonsky/FiraCode,586.0,134.0
Python,https://github.com/amsehili/auditok,388.0,6.0
Python,https://github.com/OIerDb-ng/OIer,300.0,46.0
Clojure,https://github.com/clojure/spec-alpha2,343.0,7.0
Clojure,https://github.com/bob-cd/bob,757.0,20.0
Clojure,https://github.com/liquidz/misaki,559.0,8.0
Clojure,https://github.com/nilenso/goose,406.0,13.0
Clojure,https://github.com/clojure/tools.deps.alpha,1259.0,13.0
Python,https://github.com/xflr6/graphviz,1211.0,18.0
Clojure,https://github.com/hyperfiddle/rcf,297.0,11.0
Python,https://github.com/veekun/pokedex,1400.0,204.0
Python,https://github.com/Robot-Will/Stino,594.0,50.0
Python,https://github.com/gregmalcolm/python_koans,393.0,162.0
Python,https://github.com/VingtCinq/python-mailchimp,413.0,132.0
Clojure,https://github.com/Deep-Symmetry/beat-link-trigger,1935.0,7.0
Python,https://github.com/OpenBMB/BMTrain,376.0,35.0
Clojure,https://github.com/aysylu/loom,273.0,84.0
Python,https://github.com/spec-first/connexion,1467.0,785.0
Python,https://github.com/trigger/trigger,748.0,184.0
Python,https://github.com/SublimeHaskell/SublimeHaskell,1392.0,86.0
Python,https://github.com/siliconcompiler/siliconcompiler,7985.0,1376.0
Clojure,https://github.com/takeoutweight/clojure-scheme,1931.0,818.0
Python,https://github.com/devrandom/gitian-builder,369.0,121.0
Clojure,https://github.com/Jarzka/stylefy,1242.0,9.0
Clojure,https://github.com/athensresearch/athens,4647.0,397.0
Clojure,https://github.com/scicloj/tablecloth,215.0,15.0
Clojure,https://github.com/clojure-emacs/refactor-nrepl,890.0,132.0
Python,https://github.com/Axelrod-Python/Axelrod,5603.0,1374.0
Clojure,https://github.com/greglook/cljstyle,607.0,38.0
Python,https://github.com/ptpb/pb,415.0,6.0
Clojure,https://github.com/juxt/bidi,548.0,71.0
Clojure,https://github.com/exoscale/pithos,725.0,53.0
Python,https://github.com/palewire/django-bakery,819.0,50.0
Clojure,https://github.com/omcljs/om,1966.0,25.0
Python,https://github.com/IntelAI/models,2540.0,918.0
Python,https://github.com/syrusakbary/pyjade,512.0,134.0
Clojure,https://github.com/clojure-emacs/orchard,468.0,106.0
Clojure,https://github.com/arcadia-unity/Arcadia,1739.0,28.0
Clojure,https://github.com/polyfy/polylith,230.0,21.0
Clojure,https://github.com/michaelklishin/quartzite,320.0,23.0
Clojure,https://github.com/onyx-platform/onyx,6828.0,201.0
Clojure,https://github.com/sveri/closp,483.0,2.0
Clojure,https://github.com/nathanmarz/cascalog,1368.0,265.0
Python,https://github.com/facebookresearch/mmf,1094.0,342.0
Python,https://github.com/XiaoMi/minos,249.0,82.0
Python,https://github.com/aws/aws-sam-cli,2812.0,1822.0
Clojure,https://github.com/taoensso/carmine,950.0,19.0
Clojure,https://github.com/dvcrn/proton,497.0,46.0
Clojure,https://github.com/mogenslund/liquid,690.0,11.0
Python,https://github.com/snwh/moka-icon-theme,597.0,36.0
Clojure,https://github.com/HumbleUI/HumbleUI,227.0,13.0
Clojure,https://github.com/drewr/postal,314.0,54.0
Clojure,https://github.com/rm-hull/nvd-clojure,344.0,20.0
Clojure,https://github.com/district0x/ethlance,1182.0,36.0
Clojure,https://github.com/lambdaisland/kaocha,1369.0,156.0
Clojure,https://github.com/functional-koans/clojure-koans,359.0,85.0
Clojure,https://github.com/plumatic/schema,967.0,184.0
Clojure,https://github.com/pallet/pallet,2438.0,83.0
Clojure,https://github.com/noprompt/garden,558.0,62.0
Python,https://github.com/mozilla/dxr,2664.0,798.0
Clojure,https://github.com/quil/quil,1336.0,207.0
Clojure,https://github.com/clj-commons/pomegranate,272.0,63.0
Python,https://github.com/XuShaohua/bcloud,461.0,11.0
Python,https://github.com/IndicoDataSolutions/finetune,3004.0,230.0
Clojure,https://github.com/fluree/db,3152.0,382.0
Clojure,https://github.com/ctford/leipzig,770.0,3.0
Python,https://github.com/instacart/lore,274.0,50.0
Clojure,https://github.com/kit-clj/kit,442.0,42.0
Python,https://github.com/python-attrs/cattrs,771.0,117.0
Clojure,https://github.com/clojure/tools.build,471.0,1.0
Python,https://github.com/luispedro/jug,965.0,21.0
Python,https://github.com/treeio/treeio,760.0,138.0
Clojure,https://github.com/clojure-lsp/clojure-lsp,2884.0,438.0
Clojure,https://github.com/r4vi/block-the-eu-cookie-shit-list,466.0,109.0
Python,https://github.com/shibing624/pycorrector,865.0,37.0
Clojure,https://github.com/clojure/clojurescript,6151.0,1874.0
Clojure,https://github.com/mikera/vectorz-clj,1018.0,8.0
Clojure,https://github.com/zmedelis/bosquet,457.0,2.0
Clojure,https://github.com/noprompt/meander,1441.0,55.0
Clojure,https://github.com/Engelberg/instaparse,812.0,47.0
Clojure,https://github.com/walkable-server/walkable,1377.0,1.0
Clojure,https://github.com/coast-framework/coast,831.0,19.0
Python,https://github.com/l3uddz/plex_autoscan,423.0,28.0
Python,https://github.com/Unrud/video-downloader,759.0,87.0
Python,https://github.com/PyMySQL/Tornado-MySQL,539.0,121.0
Python,https://github.com/hangoutsbot/hangoutsbot,2858.0,621.0
Clojure,https://github.com/ztellman/lamina,704.0,28.0
Clojure,https://github.com/latte-central/LaTTe,440.0,10.0
Python,https://github.com/TracecatHQ/functime,566.0,24.0
Clojure,https://github.com/walmartlabs/lacinia-pedestal,419.0,75.0
Clojure,https://github.com/threatgrid/naga,401.0,9.0
Clojure,https://github.com/riemann/riemann,1795.0,513.0
Clojure,https://github.com/unclebob/more-speech,631.0,3.0
Python,https://github.com/encode/apistar,768.0,173.0
Clojure,https://github.com/nrepl/nrepl,1078.0,268.0
Python,https://github.com/facebookresearch/fvcore,241.0,96.0
Clojure,https://github.com/tonsky/grumpy,257.0,5.0
Clojure,https://github.com/binaryage/chromex,1055.0,3.0
Clojure,https://github.com/BrunoBonacci/mulog,408.0,21.0
Clojure,https://github.com/squint-cljs/squint,1061.0,50.0
Python,https://github.com/tern-tools/tern,1101.0,170.0
Python,https://github.com/UDST/urbansim,2062.0,338.0
Python,https://github.com/awslabs/aws-servicebroker,596.0,113.0
Clojure,https://github.com/status-im/status-mobile,8814.0,5835.0
Python,https://github.com/sloria/konch,470.0,16.0
Clojure,https://github.com/clj-commons/etaoin,794.0,57.0
Clojure,https://github.com/gigasquid/wonderland-clojure-katas,367.0,141.0
Python,https://github.com/pyparallel/pyparallel,79104.0,50258.0
Python,https://github.com/StackStorm/st2,21739.0,7818.0
Clojure,https://github.com/leonoel/missionary,284.0,6.0
Clojure,https://github.com/cch1/http.async.client,541.0,61.0
Python,https://github.com/jaxbot/github-issues.vim,338.0,25.0
Clojure,https://github.com/exercism/clojure,957.0,585.0
Python,https://github.com/neurokernel/neurokernel,1672.0,153.0
Clojure,https://github.com/emezeske/lein-cljsbuild,559.0,107.0
Python,https://github.com/getsentry/freight,1902.0,372.0
Clojure,https://github.com/cognitect-labs/aws-api,691.0,20.0
Python,https://github.com/pycassa/pycassa,921.0,166.0
Python,https://github.com/mathics/Mathics,5428.0,1121.0
Clojure,https://github.com/clj-pdf/clj-pdf,724.0,108.0
Python,https://github.com/xen0l/aws-gate,429.0,20.0
Python,https://github.com/mdhiggins/sickbeard_mp4_automator,2516.0,212.0
Clojure,https://github.com/clj-kondo/clj-kondo,2159.0,261.0
Clojure,https://github.com/flow-storm/flow-storm-debugger,616.0,13.0
Python,https://github.com/plivo/plivoframework,992.0,99.0
Python,https://github.com/pinax/pinax-blog,426.0,57.0
Clojure,https://github.com/hraberg/deuce,1315.0,6.0
Clojure,https://github.com/clj-commons/aleph,1850.0,234.0
Clojure,https://github.com/luminus-framework/luminus-template,2144.0,261.0
Clojure,https://github.com/lspector/Clojush,2650.0,469.0
Python,https://github.com/mesosphere/marathon-lb,1086.0,430.0
Python,https://github.com/pavlov99/json-rpc,485.0,45.0
Python,https://github.com/learningequality/ka-lite,14503.0,6159.0
Python,https://github.com/aichallenge/aichallenge,8529.0,2301.0
Clojure,https://github.com/hyperfiddle/electric,2766.0,21.0
Clojure,https://github.com/kkinnear/zprint,640.0,17.0
Python,https://github.com/Juniper/py-junos-eznc,2684.0,946.0
Clojure,https://github.com/joy-framework/joy,633.0,9.0
Clojure,https://github.com/clojars/clojars-web,2015.0,272.0
Clojure,https://github.com/nrepl/piggieback,278.0,26.0
Python,https://github.com/diffgram/diffgram,5727.0,657.0
Python,https://github.com/python-hyper/h2,1603.0,140.0
Clojure,https://github.com/mikera/core.matrix,2697.0,317.0
Python,https://github.com/sebastien/cuisine,479.0,135.0
Python,https://github.com/mattjj/pyhsmm,1426.0,22.0
Clojure,https://github.com/metosin/spec-tools,829.0,81.0
Python,https://github.com/firebase/firebase-admin-python,306.0,67.0
Clojure,https://github.com/day8/re-frame,2761.0,593.0
Python,https://github.com/NullHypothesis/exitmap,373.0,35.0
Clojure,https://github.com/sunng87/ring-jetty9-adapter,521.0,66.0
Python,https://github.com/PyWavelets/pywt,1872.0,529.0
Python,https://github.com/elastic/eland,511.0,164.0
Clojure,https://github.com/weavejester/codox,482.0,33.0
Clojure,https://github.com/anmonteiro/lumo,670.0,21.0
Clojure,https://github.com/funcool/catacumba,797.0,23.0
Clojure,https://github.com/r0man/sablono,545.0,21.0
Python,https://github.com/saucelabs/monocle,341.0,61.0
Python,https://github.com/cloudera/impyla,434.0,135.0
Python,https://github.com/ohld/igbot,2525.0,1185.0
Clojure,https://github.com/wilkerlucio/pathom3,1287.0,13.0
Clojure,https://github.com/metasoarous/oz,604.0,35.0
