language,html_url,date,all-commits,committer,commits
Clojure,https://github.com/clojure/core.logic,2010-11-25,9.0,rank-0,9
Clojure,https://github.com/clojure/core.logic,2010-11-26,17.0,rank-0,17
Clojure,https://github.com/clojure/core.logic,2010-11-27,41.0,rank-0,41
Clojure,https://github.com/clojure/core.logic,2010-11-28,65.0,rank-0,65
Clojure,https://github.com/clojure/core.logic,2010-11-29,77.0,rank-0,77
Clojure,https://github.com/clojure/core.logic,2010-11-30,85.0,rank-0,85
Clojure,https://github.com/clojure/core.logic,2010-12-01,101.0,rank-0,101
Clojure,https://github.com/clojure/core.logic,2010-12-02,104.0,rank-0,104
Clojure,https://github.com/clojure/core.logic,2010-12-03,118.0,rank-0,118
Clojure,https://github.com/clojure/core.logic,2010-12-04,133.0,rank-0,133
Clojure,https://github.com/clojure/core.logic,2010-12-05,135.0,rank-0,135
Clojure,https://github.com/clojure/core.logic,2010-12-06,140.0,rank-0,140
Clojure,https://github.com/clojure/core.logic,2010-12-07,144.0,rank-0,144
Clojure,https://github.com/clojure/core.logic,2010-12-08,145.0,rank-0,145
Clojure,https://github.com/clojure/core.logic,2010-12-11,146.0,rank-0,146
Clojure,https://github.com/clojure/core.logic,2010-12-12,148.0,rank-0,148
Clojure,https://github.com/clojure/core.logic,2010-12-14,150.0,rank-0,150
Clojure,https://github.com/clojure/core.logic,2010-12-15,160.0,rank-0,160
Clojure,https://github.com/clojure/core.logic,2010-12-16,167.0,rank-0,167
Clojure,https://github.com/clojure/core.logic,2010-12-17,179.0,rank-0,179
Clojure,https://github.com/clojure/core.logic,2010-12-18,183.0,rank-0,183
Clojure,https://github.com/clojure/core.logic,2010-12-22,185.0,rank-0,185
Clojure,https://github.com/clojure/core.logic,2010-12-24,187.0,rank-0,187
Clojure,https://github.com/clojure/core.logic,2010-12-27,193.0,rank-0,193
Clojure,https://github.com/clojure/core.logic,2010-12-30,194.0,rank-0,194
Clojure,https://github.com/clojure/core.logic,2010-12-31,195.0,rank-0,195
Clojure,https://github.com/clojure/core.logic,2011-01-01,205.0,rank-0,205
Clojure,https://github.com/clojure/core.logic,2011-01-02,206.0,rank-0,206
Clojure,https://github.com/clojure/core.logic,2011-01-14,214.0,rank-0,214
Clojure,https://github.com/clojure/core.logic,2011-01-15,224.0,rank-0,224
Clojure,https://github.com/clojure/core.logic,2011-01-16,227.0,rank-0,227
Clojure,https://github.com/clojure/core.logic,2011-01-17,235.0,rank-0,235
Clojure,https://github.com/clojure/core.logic,2011-01-18,244.0,rank-0,244
Clojure,https://github.com/clojure/core.logic,2011-01-19,248.0,rank-0,248
Clojure,https://github.com/clojure/core.logic,2011-01-20,250.0,rank-0,250
Clojure,https://github.com/clojure/core.logic,2011-01-21,266.0,rank-0,266
Clojure,https://github.com/clojure/core.logic,2011-01-22,272.0,rank-0,272
Clojure,https://github.com/clojure/core.logic,2011-01-23,287.0,rank-0,287
Clojure,https://github.com/clojure/core.logic,2011-01-24,293.0,rank-0,293
