language,html_url,date,all-commits,committer,commits
Clojure,https://github.com/oakes/Nightweb,2012-09-04,3.0,rank-0,3
Clojure,https://github.com/oakes/Nightweb,2012-09-06,4.0,rank-0,4
Clojure,https://github.com/oakes/Nightweb,2012-09-07,6.0,rank-0,6
Clojure,https://github.com/oakes/Nightweb,2012-09-08,11.0,rank-0,11
Clojure,https://github.com/oakes/Nightweb,2012-09-09,13.0,rank-0,13
Clojure,https://github.com/oakes/Nightweb,2012-09-10,15.0,rank-0,15
Clojure,https://github.com/oakes/Nightweb,2012-09-11,16.0,rank-0,16
Clojure,https://github.com/oakes/Nightweb,2012-09-18,17.0,rank-0,17
Clojure,https://github.com/oakes/Nightweb,2012-09-22,21.0,rank-0,21
Clojure,https://github.com/oakes/Nightweb,2012-09-23,25.0,rank-0,25
Clojure,https://github.com/oakes/Nightweb,2012-09-24,26.0,rank-0,26
Clojure,https://github.com/oakes/Nightweb,2012-10-03,28.0,rank-0,27
Clojure,https://github.com/oakes/Nightweb,2012-10-06,30.0,rank-0,29
Clojure,https://github.com/oakes/Nightweb,2012-10-07,32.0,rank-0,31
Clojure,https://github.com/oakes/Nightweb,2012-10-08,33.0,rank-0,32
Clojure,https://github.com/oakes/Nightweb,2012-10-11,34.0,rank-0,33
Clojure,https://github.com/oakes/Nightweb,2012-10-14,36.0,rank-0,35
Clojure,https://github.com/oakes/Nightweb,2012-10-15,38.0,rank-0,37
Clojure,https://github.com/oakes/Nightweb,2012-10-16,40.0,rank-0,39
Clojure,https://github.com/oakes/Nightweb,2012-10-19,42.0,rank-0,41
Clojure,https://github.com/oakes/Nightweb,2012-10-23,43.0,rank-0,42
Clojure,https://github.com/oakes/Nightweb,2012-10-24,47.0,rank-0,46
Clojure,https://github.com/oakes/Nightweb,2012-10-25,49.0,rank-0,48
Clojure,https://github.com/oakes/Nightweb,2012-10-28,52.0,rank-0,51
Clojure,https://github.com/oakes/Nightweb,2012-10-29,53.0,rank-0,52
Clojure,https://github.com/oakes/Nightweb,2012-10-30,55.0,rank-0,54
Clojure,https://github.com/oakes/Nightweb,2012-11-10,57.0,rank-0,56
Clojure,https://github.com/oakes/Nightweb,2012-11-11,58.0,rank-0,57
Clojure,https://github.com/oakes/Nightweb,2012-11-19,59.0,rank-0,58
Clojure,https://github.com/oakes/Nightweb,2012-11-20,60.0,rank-0,59
