language,html_url,date,committer,commits
Clojure,https://github.com/jonase/eastwood,2012-01-06,rank-0,0.0
Clojure,https://github.com/jonase/eastwood,2012-01-07,rank-0,0.0
Clojure,https://github.com/jonase/eastwood,2012-01-12,rank-0,0.0
Clojure,https://github.com/jonase/eastwood,2012-01-13,rank-0,0.0
Clojure,https://github.com/jonase/eastwood,2012-01-14,rank-0,0.0
Clojure,https://github.com/jonase/eastwood,2012-01-15,rank-0,0.0
Clojure,https://github.com/jonase/eastwood,2012-01-16,rank-0,0.0
Clojure,https://github.com/jonase/eastwood,2012-01-20,rank-0,0.0
Clojure,https://github.com/jonase/eastwood,2012-02-25,rank-0,0.0
Clojure,https://github.com/jonase/eastwood,2012-02-28,rank-0,0.0
Clojure,https://github.com/jonase/eastwood,2012-04-19,rank-0,0.0
Clojure,https://github.com/jonase/eastwood,2012-04-21,rank-0,0.0
Clojure,https://github.com/jonase/eastwood,2012-04-24,rank-0,0.0
Clojure,https://github.com/jonase/eastwood,2012-05-11,rank-0,0.0
Clojure,https://github.com/jonase/eastwood,2012-05-15,rank-0,0.0
Clojure,https://github.com/jonase/eastwood,2012-08-31,rank-0,0.0
Clojure,https://github.com/jonase/eastwood,2012-09-01,rank-0,0.0
Clojure,https://github.com/jonase/eastwood,2013-07-25,rank-0,0.0
Clojure,https://github.com/jonase/eastwood,2013-10-08,rank-0,0.0
Clojure,https://github.com/jonase/eastwood,2013-11-21,rank-0,1.0
Clojure,https://github.com/jonase/eastwood,2013-11-26,rank-0,9.0
Clojure,https://github.com/jonase/eastwood,2013-11-28,rank-0,10.0
Clojure,https://github.com/jonase/eastwood,2013-11-29,rank-0,13.0
Clojure,https://github.com/jonase/eastwood,2013-11-30,rank-0,15.0
Clojure,https://github.com/jonase/eastwood,2013-12-01,rank-0,23.0
Clojure,https://github.com/jonase/eastwood,2013-12-02,rank-0,29.0
Clojure,https://github.com/jonase/eastwood,2013-12-03,rank-0,33.0
Clojure,https://github.com/jonase/eastwood,2013-12-04,rank-0,38.0
Clojure,https://github.com/jonase/eastwood,2013-12-05,rank-0,42.0
Clojure,https://github.com/jonase/eastwood,2013-12-06,rank-0,47.0
Clojure,https://github.com/jonase/eastwood,2013-12-07,rank-0,53.0
Clojure,https://github.com/jonase/eastwood,2013-12-08,rank-0,54.0
Clojure,https://github.com/jonase/eastwood,2013-12-09,rank-0,56.0
Clojure,https://github.com/jonase/eastwood,2013-12-10,rank-0,59.0
Clojure,https://github.com/jonase/eastwood,2013-12-11,rank-0,59.0
Clojure,https://github.com/jonase/eastwood,2013-12-12,rank-0,59.0
Clojure,https://github.com/jonase/eastwood,2013-12-13,rank-0,60.0
Clojure,https://github.com/jonase/eastwood,2013-12-14,rank-0,61.0
Clojure,https://github.com/jonase/eastwood,2013-12-15,rank-0,69.0
Clojure,https://github.com/jonase/eastwood,2013-12-16,rank-0,80.0
Clojure,https://github.com/jonase/eastwood,2013-12-17,rank-0,97.0
Clojure,https://github.com/jonase/eastwood,2013-12-18,rank-0,98.0
Clojure,https://github.com/jonase/eastwood,2013-12-19,rank-0,104.0
