language,html_url,date,all-commits,committer,commits
Clojure,https://github.com/otto-de/tesla-microservice,2015-01-22,3.0,rank-0,0
Clojure,https://github.com/otto-de/tesla-microservice,2015-01-23,4.0,rank-0,0
Clojure,https://github.com/otto-de/tesla-microservice,2015-01-26,8.0,rank-0,0
Clojure,https://github.com/otto-de/tesla-microservice,2015-01-28,10.0,rank-0,0
Clojure,https://github.com/otto-de/tesla-microservice,2015-01-29,11.0,rank-0,0
Clojure,https://github.com/otto-de/tesla-microservice,2015-02-01,12.0,rank-0,0
Clojure,https://github.com/otto-de/tesla-microservice,2015-02-02,16.0,rank-0,0
Clojure,https://github.com/otto-de/tesla-microservice,2015-02-03,18.0,rank-0,0
Clojure,https://github.com/otto-de/tesla-microservice,2015-02-04,22.0,rank-0,0
Clojure,https://github.com/otto-de/tesla-microservice,2015-02-05,23.0,rank-0,0
Clojure,https://github.com/otto-de/tesla-microservice,2015-02-10,25.0,rank-0,0
Clojure,https://github.com/otto-de/tesla-microservice,2015-02-11,27.0,rank-0,0
Clojure,https://github.com/otto-de/tesla-microservice,2015-02-12,36.0,rank-0,0
Clojure,https://github.com/otto-de/tesla-microservice,2015-02-13,37.0,rank-0,0
Clojure,https://github.com/otto-de/tesla-microservice,2015-02-18,41.0,rank-0,0
Clojure,https://github.com/otto-de/tesla-microservice,2015-02-23,42.0,rank-0,0
Clojure,https://github.com/otto-de/tesla-microservice,2015-02-27,44.0,rank-0,0
Clojure,https://github.com/otto-de/tesla-microservice,2015-03-01,48.0,rank-0,0
Clojure,https://github.com/otto-de/tesla-microservice,2015-03-06,49.0,rank-0,0
Clojure,https://github.com/otto-de/tesla-microservice,2015-03-11,50.0,rank-0,0
Clojure,https://github.com/otto-de/tesla-microservice,2015-03-16,53.0,rank-0,0
Clojure,https://github.com/otto-de/tesla-microservice,2015-04-15,54.0,rank-0,0
Clojure,https://github.com/otto-de/tesla-microservice,2015-04-24,57.0,rank-0,0
Clojure,https://github.com/otto-de/tesla-microservice,2015-04-28,58.0,rank-0,0
Clojure,https://github.com/otto-de/tesla-microservice,2015-05-29,59.0,rank-0,0
Clojure,https://github.com/otto-de/tesla-microservice,2015-05-31,65.0,rank-0,0
Clojure,https://github.com/otto-de/tesla-microservice,2015-06-01,68.0,rank-0,0
Clojure,https://github.com/otto-de/tesla-microservice,2015-06-02,71.0,rank-0,0
Clojure,https://github.com/otto-de/tesla-microservice,2015-06-03,72.0,rank-0,0
Clojure,https://github.com/otto-de/tesla-microservice,2015-06-04,77.0,rank-0,0
Clojure,https://github.com/otto-de/tesla-microservice,2015-06-05,79.0,rank-0,0
Clojure,https://github.com/otto-de/tesla-microservice,2015-06-08,80.0,rank-0,0
Clojure,https://github.com/otto-de/tesla-microservice,2015-06-09,82.0,rank-0,0
Clojure,https://github.com/otto-de/tesla-microservice,2015-06-12,83.0,rank-0,0
Clojure,https://github.com/otto-de/tesla-microservice,2015-06-15,85.0,rank-0,0
Clojure,https://github.com/otto-de/tesla-microservice,2015-06-17,87.0,rank-0,0
