language,html_url,date,all-commits,committer,commits
Clojure,https://github.com/binaryage/cljs-devtools,2015-01-27,7.0,rank-0,7
Clojure,https://github.com/binaryage/cljs-devtools,2015-01-28,10.0,rank-0,10
Clojure,https://github.com/binaryage/cljs-devtools,2015-01-29,19.0,rank-0,19
Clojure,https://github.com/binaryage/cljs-devtools,2015-01-30,34.0,rank-0,34
Clojure,https://github.com/binaryage/cljs-devtools,2015-01-31,35.0,rank-0,35
Clojure,https://github.com/binaryage/cljs-devtools,2015-02-01,47.0,rank-0,47
Clojure,https://github.com/binaryage/cljs-devtools,2015-02-04,54.0,rank-0,54
Clojure,https://github.com/binaryage/cljs-devtools,2015-02-05,56.0,rank-0,56
Clojure,https://github.com/binaryage/cljs-devtools,2015-02-06,60.0,rank-0,60
Clojure,https://github.com/binaryage/cljs-devtools,2015-02-10,62.0,rank-0,62
Clojure,https://github.com/binaryage/cljs-devtools,2015-02-12,70.0,rank-0,70
Clojure,https://github.com/binaryage/cljs-devtools,2015-02-13,73.0,rank-0,73
Clojure,https://github.com/binaryage/cljs-devtools,2015-02-14,74.0,rank-0,74
Clojure,https://github.com/binaryage/cljs-devtools,2015-02-21,77.0,rank-0,77
Clojure,https://github.com/binaryage/cljs-devtools,2015-02-28,88.0,rank-0,88
Clojure,https://github.com/binaryage/cljs-devtools,2015-03-02,89.0,rank-0,89
Clojure,https://github.com/binaryage/cljs-devtools,2015-03-21,90.0,rank-0,90
Clojure,https://github.com/binaryage/cljs-devtools,2015-03-27,99.0,rank-0,99
Clojure,https://github.com/binaryage/cljs-devtools,2015-04-11,101.0,rank-0,101
Clojure,https://github.com/binaryage/cljs-devtools,2015-04-12,105.0,rank-0,105
Clojure,https://github.com/binaryage/cljs-devtools,2015-04-13,111.0,rank-0,111
Clojure,https://github.com/binaryage/cljs-devtools,2015-04-14,116.0,rank-0,116
Clojure,https://github.com/binaryage/cljs-devtools,2015-04-18,118.0,rank-0,118
Clojure,https://github.com/binaryage/cljs-devtools,2015-04-24,132.0,rank-0,132
Clojure,https://github.com/binaryage/cljs-devtools,2015-05-02,151.0,rank-0,151
Clojure,https://github.com/binaryage/cljs-devtools,2015-05-03,158.0,rank-0,158
Clojure,https://github.com/binaryage/cljs-devtools,2015-05-05,160.0,rank-0,160
Clojure,https://github.com/binaryage/cljs-devtools,2015-06-06,168.0,rank-0,168
Clojure,https://github.com/binaryage/cljs-devtools,2015-08-25,171.0,rank-0,171
Clojure,https://github.com/binaryage/cljs-devtools,2015-08-26,172.0,rank-0,172
Clojure,https://github.com/binaryage/cljs-devtools,2015-10-16,175.0,rank-0,175
Clojure,https://github.com/binaryage/cljs-devtools,2015-10-21,195.0,rank-0,195
Clojure,https://github.com/binaryage/cljs-devtools,2015-11-01,198.0,rank-0,198
Clojure,https://github.com/binaryage/cljs-devtools,2015-11-02,208.0,rank-0,208
Clojure,https://github.com/binaryage/cljs-devtools,2015-11-05,209.0,rank-0,209
Clojure,https://github.com/binaryage/cljs-devtools,2015-11-18,211.0,rank-0,211
Clojure,https://github.com/binaryage/cljs-devtools,2015-11-19,212.0,rank-0,212
Clojure,https://github.com/binaryage/cljs-devtools,2015-11-23,213.0,rank-0,213
Clojure,https://github.com/binaryage/cljs-devtools,2015-11-26,215.0,rank-0,215
Clojure,https://github.com/binaryage/cljs-devtools,2015-12-04,216.0,rank-0,216
Clojure,https://github.com/binaryage/cljs-devtools,2015-12-06,220.0,rank-0,220
Clojure,https://github.com/binaryage/cljs-devtools,2015-12-10,225.0,rank-0,225
Clojure,https://github.com/binaryage/cljs-devtools,2015-12-14,227.0,rank-0,227
Clojure,https://github.com/binaryage/cljs-devtools,2015-12-15,228.0,rank-0,228
Clojure,https://github.com/binaryage/cljs-devtools,2015-12-16,234.0,rank-0,234
Clojure,https://github.com/binaryage/cljs-devtools,2015-12-17,235.0,rank-0,235
Clojure,https://github.com/binaryage/cljs-devtools,2015-12-19,236.0,rank-0,236
Clojure,https://github.com/binaryage/cljs-devtools,2016-01-01,237.0,rank-0,237
Clojure,https://github.com/binaryage/cljs-devtools,2016-01-02,242.0,rank-0,242
Clojure,https://github.com/binaryage/cljs-devtools,2016-01-08,243.0,rank-0,243
Clojure,https://github.com/binaryage/cljs-devtools,2016-01-09,244.0,rank-0,244
Clojure,https://github.com/binaryage/cljs-devtools,2016-01-11,248.0,rank-0,248
Clojure,https://github.com/binaryage/cljs-devtools,2016-01-12,251.0,rank-0,251
Clojure,https://github.com/binaryage/cljs-devtools,2016-01-13,260.0,rank-0,260
Clojure,https://github.com/binaryage/cljs-devtools,2016-01-14,262.0,rank-0,262
Clojure,https://github.com/binaryage/cljs-devtools,2016-01-20,271.0,rank-0,271
Clojure,https://github.com/binaryage/cljs-devtools,2016-01-21,286.0,rank-0,286
Clojure,https://github.com/binaryage/cljs-devtools,2016-01-22,295.0,rank-0,295
Clojure,https://github.com/binaryage/cljs-devtools,2016-01-23,299.0,rank-0,299
Clojure,https://github.com/binaryage/cljs-devtools,2016-01-24,313.0,rank-0,313
Clojure,https://github.com/binaryage/cljs-devtools,2016-01-25,319.0,rank-0,318
Clojure,https://github.com/binaryage/cljs-devtools,2016-01-28,320.0,rank-0,319
Clojure,https://github.com/binaryage/cljs-devtools,2016-02-01,325.0,rank-0,324
Clojure,https://github.com/binaryage/cljs-devtools,2016-03-24,329.0,rank-0,328
Clojure,https://github.com/binaryage/cljs-devtools,2016-03-25,353.0,rank-0,352
Clojure,https://github.com/binaryage/cljs-devtools,2016-03-26,359.0,rank-0,358
Clojure,https://github.com/binaryage/cljs-devtools,2016-03-28,375.0,rank-0,374
Clojure,https://github.com/binaryage/cljs-devtools,2016-03-29,377.0,rank-0,376
Clojure,https://github.com/binaryage/cljs-devtools,2016-04-07,386.0,rank-0,385
Clojure,https://github.com/binaryage/cljs-devtools,2016-04-14,387.0,rank-0,386
Clojure,https://github.com/binaryage/cljs-devtools,2016-05-06,389.0,rank-0,388
Clojure,https://github.com/binaryage/cljs-devtools,2016-06-06,405.0,rank-0,404
Clojure,https://github.com/binaryage/cljs-devtools,2016-06-08,406.0,rank-0,405
Clojure,https://github.com/binaryage/cljs-devtools,2016-06-11,419.0,rank-0,418
Clojure,https://github.com/binaryage/cljs-devtools,2016-06-12,427.0,rank-0,426
Clojure,https://github.com/binaryage/cljs-devtools,2016-06-13,441.0,rank-0,440
Clojure,https://github.com/binaryage/cljs-devtools,2016-06-19,449.0,rank-0,448
