language,html_url,total-commits,total-other-commits,other-ratio,lifespan,size,owner,stargazers_count,log-stargazers-count,log-total-other-commits,log-total-other-commits-prediction
Clojure,https://github.com/tonsky/FiraCode,586.0,134.0,0.22866894197952217,3284,88621,tonsky,73546,11.205666339778414,4.90527477843843,7.722350738737642
Clojure,https://github.com/metabase/metabase,28905.0,16868.0,0.5835668569451652,3225,444003,metabase,35046,10.464416763268364,9.733232896960311,7.122424706481034
Clojure,https://github.com/logseq/logseq,12398.0,4006.0,0.3231166317147927,1453,110199,logseq,26838,10.197574072660903,8.295798110636145,6.9064571272932955
Clojure,https://github.com/penpot/penpot,11659.0,1760.0,0.15095634273951453,3088,119515,penpot,24400,10.102338411281293,7.473637108496206,6.829378698824167
Clojure,https://github.com/LightTable/LightTable,1313.0,364.0,0.27722772277227725,2913,19648,LightTable,11732,9.37007543009734,5.8998973535824915,6.236725915211915
Clojure,https://github.com/clojure/clojurescript,6151.0,1874.0,0.30466590798244186,4551,18438,clojure,9145,9.120962560824966,7.536363938404511,6.035107863771978
Clojure,https://github.com/technomancy/leiningen,4975.0,1735.0,0.3487437185929648,4666,7183,technomancy,7304,8.896177422274805,7.459338895220296,5.853179319656553
Clojure,https://github.com/omcljs/om,1966.0,25.0,0.01271617497456765,2321,2181,omcljs,6662,8.804175018753625,3.258096538021482,5.778717709624477
Clojure,https://github.com/jepsen-io/jepsen,3116.0,556.0,0.17843388960205392,3840,46770,jepsen-io,6390,8.762489547371581,6.322565239927284,5.744979815881967
Clojure,https://github.com/athensresearch/athens,4647.0,397.0,0.08543146115773617,987,78287,athensresearch,6331,8.753213480544126,5.986452005284438,5.737472285162093
Clojure,https://github.com/overtone/overtone,3119.0,317.0,0.10163513946777814,5198,8808,overtone,5729,8.653296274408579,5.762051382780177,5.656604875681353
Clojure,https://github.com/day8/re-frame,2761.0,593.0,0.21477725461789207,3274,68317,day8,5345,8.583916823459145,6.386879319362645,5.600453020695879
Clojure,https://github.com/tonsky/datascript,724.0,114.0,0.1574585635359116,3507,1808,tonsky,5248,8.565602330623925,4.74493212836325,5.585630292470986
Clojure,https://github.com/reagent-project/reagent,1550.0,163.0,0.10516129032258065,3372,3979,reagent-project,4686,8.452334619067742,5.099866427824199,5.493957729099524
Clojure,https://github.com/riemann/riemann,1795.0,513.0,0.2857938718662953,4282,7531,riemann,4186,8.339500903005945,6.2422232654551655,5.402636417456517
Clojure,https://github.com/weavejester/compojure,964.0,81.0,0.08402489626556017,5485,5863,weavejester,4043,8.304742269640771,4.406719247264253,5.374504719763536
Clojure,https://github.com/status-im/status-mobile,8814.0,5835.0,0.6620149761742682,2839,490087,status-im,3746,8.228443883004033,8.671800909642677,5.312753064432993
Clojure,https://github.com/functional-koans/clojure-koans,359.0,85.0,0.23676880222841226,4719,282,functional-koans,3696,8.215006432761575,4.454347296253507,5.301877542256564
Clojure,https://github.com/ring-clojure/ring,1191.0,214.0,0.17968094038623006,5411,7309,ring-clojure,3661,8.205491613120236,5.3706380281276624,5.294176778335807
Clojure,https://github.com/babashka/babashka,3833.0,198.0,0.05165666579702583,1575,11154,babashka,3632,8.197538739721184,5.293304824724492,5.287740166519047
Clojure,https://github.com/magomimmo/modern-cljs,2010.0,267.0,0.1328358208955224,1932,34172,magomimmo,2928,7.982074875081202,5.5909869805108565,5.113355741212889
Clojure,https://github.com/quil/quil,1336.0,207.0,0.15494011976047903,5564,10385,quil,2903,7.97349996402463,5.337538079701318,5.106415686836948
Clojure,https://github.com/bhauman/lein-figwheel,1849.0,124.0,0.0670632774472688,2402,3739,bhauman,2885,7.9672801789422,4.8283137373023015,5.101381739966369
Clojure,https://github.com/swarmpit/swarmpit,1988.0,35.0,0.017605633802816902,2285,6845,swarmpit,2805,7.9391588179567965,3.58351893845611,5.078621880059183
Clojure,https://github.com/Engelberg/instaparse,812.0,47.0,0.05788177339901478,3379,1174,Engelberg,2676,7.892078421248119,3.871201010907891,5.040517634890524
Clojure,https://github.com/pedestal/pedestal,1886.0,658.0,0.3488865323435843,3920,5273,pedestal,2626,7.873217054862741,6.490723534502507,5.025252297739449
Clojure,https://github.com/razum2um/awesome-clojure,280.0,150.0,0.5357142857142857,3414,205,razum2um,2603,7.864419904994565,5.017279836814924,5.018132375674293
Clojure,https://github.com/weavejester/hiccup,310.0,39.0,0.12580645161290321,5085,464,weavejester,2587,7.8582541821860294,3.6888794541139363,5.013142183790562
Clojure,https://github.com/clojure-cookbook/clojure-cookbook,1973.0,758.0,0.3841865179929042,1887,11402,clojure-cookbook,2553,7.845024417241484,6.63200177739563,5.002434750501713
Clojure,https://github.com/clj-commons/aleph,1850.0,234.0,0.1264864864864865,4887,3426,clj-commons,2495,7.822044008185619,5.459585514144159,4.9838356901293235
