language,html_url,total-commits,total-other-commits,other-ratio,lifespan,size,owner,stargazers_count,log-stargazers-count,log-total-other-commits,log-total-other-commits-prediction
Python,https://github.com/bear/python-twitter,1104.0,408.0,0.3695652173913043,3386,8618,bear,3399,8.131236549696116,6.013715156042802,5.29706667580801
Python,https://github.com/overviewer/Minecraft-Overviewer,3029.0,850.0,0.2806206668867613,4609,12008,overviewer,3283,8.096512917501594,6.7464121285733745,5.2841147525298044
Python,https://github.com/midgetspy/Sick-Beard,3978.0,471.0,0.11840120663650075,2326,36585,midgetspy,2905,7.974188669286011,6.156978985585555,5.238487778108554
Python,https://github.com/formspree/formspree,863.0,60.0,0.06952491309385864,1801,2971,formspree,2791,7.934155233536322,4.110873864173311,5.223555296809125
Python,https://github.com/Hari-Nagarajan/fairgame,1059.0,306.0,0.28895184135977336,821,2361,Hari-Nagarajan,2449,7.803435056952168,5.726847747587197,5.174796639058496
Python,https://github.com/mathics/Mathics,5428.0,1121.0,0.20652173913043478,3842,21396,mathics,2076,7.638198244285779,7.022868086082641,5.113163267630034
Python,https://github.com/ryanmcgrath/twython,853.0,235.0,0.27549824150058616,4456,2801,ryanmcgrath,1848,7.521859252201629,5.4638318050256105,5.069768795205707
Python,https://github.com/p4-team/ctf,1201.0,286.0,0.23813488759367193,2774,312460,p4-team,1715,7.44716835960004,5.659482215759621,5.0419090740470125
Python,https://github.com/Robot-Will/Stino,594.0,50.0,0.08417508417508418,1612,5781,Robot-Will,1585,7.368339686311381,3.9318256327243257,5.01250595968277
Python,https://github.com/nucypher/zerodb,1016.0,94.0,0.09251968503937008,1185,3390,nucypher,1567,7.356918242356021,4.553876891600541,5.008245758301547
Python,https://github.com/instacart/lore,274.0,50.0,0.18248175182481752,1803,1641,instacart,1550,7.346010209913293,3.9318256327243257,5.004177059539766
Python,https://github.com/treeio/treeio,760.0,138.0,0.18157894736842106,1456,32186,treeio,1500,7.313220387090301,4.9344739331306915,4.991946447628829
Python,https://github.com/bslatkin/dpxdt,1308.0,112.0,0.0856269113149847,1313,9263,bslatkin,1438,7.271008538280992,4.727387818712341,4.976201417726813
Python,https://github.com/titoBouzout/Dictionaries,224.0,101.0,0.45089285714285715,4031,62486,titoBouzout,1413,7.253470382684528,4.624972813284271,4.969659681411494
Python,https://github.com/veekun/pokedex,1400.0,204.0,0.1457142857142857,4520,22445,veekun,1396,7.241366283322318,5.3230099791384085,4.9651448493970065
Python,https://github.com/yadayada/acd_cli,292.0,26.0,0.08904109589041095,785,769,yadayada,1360,7.215239978730097,3.295836866004329,4.955399731411486
Python,https://github.com/nose-devs/nose,1004.0,212.0,0.21115537848605578,3362,3674,nose-devs,1358,7.213768308118642,5.3612921657094255,4.954850797914449
Python,https://github.com/gabrielfalcao/lettuce,967.0,293.0,0.3029989658738366,3628,15123,gabrielfalcao,1269,7.1459844677143876,5.683579767338681,4.929567408910101
Python,https://github.com/bread-and-pepper/django-userena,952.0,278.0,0.2920168067226891,2252,2986,bread-and-pepper,1260,7.138866999945524,5.631211781821365,4.92691259169625
Python,https://github.com/sebastien/cuisine,479.0,135.0,0.2818371607515658,4389,737,sebastien,1259,7.138073034044347,4.912654885736052,4.92661644222145
