language,html_url,date,committer,commits
Clojure,https://github.com/gcv/appengine-magic,2010-05-29,rank-0,3.0
Clojure,https://github.com/gcv/appengine-magic,2010-06-01,rank-0,5.0
Clojure,https://github.com/gcv/appengine-magic,2010-06-03,rank-0,7.0
Clojure,https://github.com/gcv/appengine-magic,2010-06-14,rank-0,12.0
Clojure,https://github.com/gcv/appengine-magic,2010-07-07,rank-0,14.0
Clojure,https://github.com/gcv/appengine-magic,2010-07-08,rank-0,21.0
Clojure,https://github.com/gcv/appengine-magic,2010-09-18,rank-0,26.0
Clojure,https://github.com/gcv/appengine-magic,2010-09-19,rank-0,38.0
Clojure,https://github.com/gcv/appengine-magic,2010-09-20,rank-0,45.0
Clojure,https://github.com/gcv/appengine-magic,2010-09-22,rank-0,52.0
Clojure,https://github.com/gcv/appengine-magic,2010-09-23,rank-0,59.0
Clojure,https://github.com/gcv/appengine-magic,2010-09-24,rank-0,64.0
Clojure,https://github.com/gcv/appengine-magic,2010-09-26,rank-0,66.0
Clojure,https://github.com/gcv/appengine-magic,2010-09-27,rank-0,68.0
Clojure,https://github.com/gcv/appengine-magic,2010-09-28,rank-0,71.0
Clojure,https://github.com/gcv/appengine-magic,2010-09-29,rank-0,76.0
Clojure,https://github.com/gcv/appengine-magic,2010-09-30,rank-0,79.0
Clojure,https://github.com/gcv/appengine-magic,2010-10-01,rank-0,84.0
Clojure,https://github.com/gcv/appengine-magic,2010-10-02,rank-0,90.0
Clojure,https://github.com/gcv/appengine-magic,2010-10-03,rank-0,94.0
Clojure,https://github.com/gcv/appengine-magic,2010-10-04,rank-0,101.0
Clojure,https://github.com/gcv/appengine-magic,2010-10-05,rank-0,101.0
Clojure,https://github.com/gcv/appengine-magic,2010-10-11,rank-0,104.0
Clojure,https://github.com/gcv/appengine-magic,2010-10-12,rank-0,108.0
Clojure,https://github.com/gcv/appengine-magic,2010-10-17,rank-0,109.0
Clojure,https://github.com/gcv/appengine-magic,2010-10-19,rank-0,109.0
Clojure,https://github.com/gcv/appengine-magic,2010-10-20,rank-0,113.0
Clojure,https://github.com/gcv/appengine-magic,2010-10-21,rank-0,114.0
Clojure,https://github.com/gcv/appengine-magic,2010-10-22,rank-0,117.0
Clojure,https://github.com/gcv/appengine-magic,2010-10-23,rank-0,123.0
Clojure,https://github.com/gcv/appengine-magic,2010-10-30,rank-0,124.0
Clojure,https://github.com/gcv/appengine-magic,2010-11-01,rank-0,128.0
Clojure,https://github.com/gcv/appengine-magic,2010-11-05,rank-0,134.0
Clojure,https://github.com/gcv/appengine-magic,2010-11-06,rank-0,137.0
Clojure,https://github.com/gcv/appengine-magic,2010-11-09,rank-0,143.0
Clojure,https://github.com/gcv/appengine-magic,2010-11-11,rank-0,147.0
Clojure,https://github.com/gcv/appengine-magic,2010-11-12,rank-0,149.0
Clojure,https://github.com/gcv/appengine-magic,2010-11-14,rank-0,154.0
Clojure,https://github.com/gcv/appengine-magic,2010-11-15,rank-0,157.0
Clojure,https://github.com/gcv/appengine-magic,2010-11-16,rank-0,162.0
Clojure,https://github.com/gcv/appengine-magic,2010-11-18,rank-0,164.0
Clojure,https://github.com/gcv/appengine-magic,2010-11-19,rank-0,169.0
Clojure,https://github.com/gcv/appengine-magic,2010-11-20,rank-0,171.0
Clojure,https://github.com/gcv/appengine-magic,2010-11-22,rank-0,179.0
Clojure,https://github.com/gcv/appengine-magic,2010-11-23,rank-0,183.0
Clojure,https://github.com/gcv/appengine-magic,2010-11-25,rank-0,186.0
Clojure,https://github.com/gcv/appengine-magic,2010-11-26,rank-0,197.0
Clojure,https://github.com/gcv/appengine-magic,2010-11-27,rank-0,204.0
Clojure,https://github.com/gcv/appengine-magic,2010-11-28,rank-0,215.0
Clojure,https://github.com/gcv/appengine-magic,2010-11-30,rank-0,230.0
