html_url,language,n-contributors,right.html_url,right.language,size,owner,stargazers_count
https://github.com/krisajenkins/yesql,Clojure,25,https://github.com/krisajenkins/yesql,Clojure,303,krisajenkins,1442
https://github.com/clj-commons/seesaw,Clojure,43,https://github.com/clj-commons/seesaw,Clojure,2371,clj-commons,1441
https://github.com/taoensso/timbre,Clojure,70,https://github.com/taoensso/timbre,Clojure,1276,taoensso,1425
https://github.com/clojure/core.logic,Clojure,37,https://github.com/clojure/core.logic,Clojure,3127,clojure,1425
https://github.com/nathanmarz/cascalog,Clojure,61,https://github.com/nathanmarz/cascalog,Clojure,2416,nathanmarz,1377
https://github.com/metosin/reitit,Clojure,127,https://github.com/metosin/reitit,Clojure,18971,metosin,1350
https://github.com/metosin/malli,Clojure,124,https://github.com/metosin/malli,Clojure,6786,metosin,1335
https://github.com/noprompt/garden,Clojure,30,https://github.com/noprompt/garden,Clojure,629,noprompt,1328
https://github.com/facebookarchive/duckling_old,Clojure,79,https://github.com/facebookarchive/duckling_old,Clojure,1639,facebookarchive,1322
https://github.com/plexus/chestnut,Clojure,59,https://github.com/plexus/chestnut,Clojure,619,plexus,1318
https://github.com/clojure/core.typed,Clojure,23,https://github.com/clojure/core.typed,Clojure,13781,clojure,1277
https://github.com/originrose/cortex,Clojure,34,https://github.com/originrose/cortex,Clojure,5249,originrose,1268
https://github.com/Tensegritics/ClojureDart,Clojure,25,https://github.com/Tensegritics/ClojureDart,Clojure,7312,Tensegritics,1261
https://github.com/clojure-liberator/liberator,Clojure,54,https://github.com/clojure-liberator/liberator,Clojure,1405,clojure-liberator,1257
https://github.com/tolitius/mount,Clojure,29,https://github.com/tolitius/mount,Clojure,1653,tolitius,1210
https://github.com/cemerick/friend,Clojure,37,https://github.com/cemerick/friend,Clojure,276,cemerick,1160
https://github.com/cerner/clara-rules,Clojure,36,https://github.com/cerner/clara-rules,Clojure,2422,cerner,1160
https://github.com/clojure/core.match,Clojure,22,https://github.com/clojure/core.match,Clojure,1219,clojure,1158
https://github.com/CircleCI-Archived/frontend,Clojure,152,https://github.com/CircleCI-Archived/frontend,Clojure,56398,CircleCI-Archived,1149
https://github.com/babashka/sci,Clojure,49,https://github.com/babashka/sci,Clojure,3007,babashka,1130
https://github.com/taoensso/carmine,Clojure,22,https://github.com/taoensso/carmine,Clojure,2534,taoensso,1130
https://github.com/clojure/test.check,Clojure,35,https://github.com/clojure/test.check,Clojure,1284,clojure,1104
https://github.com/metosin/compojure-api,Clojure,54,https://github.com/metosin/compojure-api,Clojure,2955,metosin,1100
https://github.com/emezeske/lein-cljsbuild,Clojure,69,https://github.com/emezeske/lein-cljsbuild,Clojure,840,emezeske,1096
