html_url,language,n-contributors,right.html_url,right.language,size,owner,stargazers_count,log-stargazers,log-contributors,log-stargazers-prediction
https://github.com/tonsky/FiraCode,Clojure,123,https://github.com/tonsky/FiraCode,Clojure,88621,tonsky,73546,11.205666339778414,4.812184355372417,7.544097848555336
https://github.com/metabase/metabase,Clojure,417,https://github.com/metabase/metabase,Clojure,444003,metabase,35046,10.464416763268364,6.0330862217988015,8.61600801224992
https://github.com/logseq/logseq,Clojure,282,https://github.com/logseq/logseq,Clojure,110199,logseq,26838,10.197574072660903,5.641907070938114,8.272566070547988
https://github.com/penpot/penpot,Clojure,166,https://github.com/penpot/penpot,Clojure,119515,penpot,24400,10.102338411281293,5.111987788356544,7.8073150290375395
https://github.com/LightTable/LightTable,Clojure,98,https://github.com/LightTable/LightTable,Clojure,19648,LightTable,11732,9.37007543009734,4.584967478670572,7.344609186774072
https://github.com/clojure/clojurescript,Clojure,228,https://github.com/clojure/clojurescript,Clojure,18438,clojure,9145,9.120962560824966,5.429345628954441,8.085944380191506
https://github.com/technomancy/leiningen,Clojure,474,https://github.com/technomancy/leiningen,Clojure,7183,technomancy,7304,8.896177422274805,6.161207321695077,8.728493964593106
https://github.com/omcljs/om,Clojure,23,https://github.com/omcljs/om,Clojure,2181,omcljs,6662,8.804175018753625,3.1354942159291497,6.072021139313861
https://github.com/jepsen-io/jepsen,Clojure,138,https://github.com/jepsen-io/jepsen,Clojure,46770,jepsen-io,6390,8.762489547371581,4.927253685157205,7.64512479225792
https://github.com/athensresearch/athens,Clojure,86,https://github.com/athensresearch/athens,Clojure,78287,athensresearch,6331,8.753213480544126,4.454347296253507,7.229929125282878
https://github.com/overtone/overtone,Clojure,85,https://github.com/overtone/overtone,Clojure,8808,overtone,5729,8.653296274408579,4.442651256490317,7.2196604016107315
https://github.com/day8/re-frame,Clojure,217,https://github.com/day8/re-frame,Clojure,68317,day8,5345,8.583916823459145,5.37989735354046,8.042530482276387
https://github.com/tonsky/datascript,Clojure,71,https://github.com/tonsky/datascript,Clojure,1808,tonsky,5248,8.565602330623925,4.2626798770413155,7.0616516737101165
https://github.com/reagent-project/reagent,Clojure,92,https://github.com/reagent-project/reagent,Clojure,3979,reagent-project,4686,8.452334619067742,4.5217885770490405,7.289140267738503
https://github.com/riemann/riemann,Clojure,182,https://github.com/riemann/riemann,Clojure,7531,riemann,4186,8.339500903005945,5.204006687076795,7.888104481083289
https://github.com/weavejester/compojure,Clojure,49,https://github.com/weavejester/compojure,Clojure,5863,weavejester,4043,8.304742269640771,3.8918202981106265,6.736049622561751
https://github.com/status-im/status-mobile,Clojure,331,https://github.com/status-im/status-mobile,Clojure,490087,status-im,3746,8.228443883004033,5.802118375377063,8.413226127092535
https://github.com/functional-koans/clojure-koans,Clojure,70,https://github.com/functional-koans/clojure-koans,Clojure,282,functional-koans,3696,8.215006432761575,4.248495242049359,7.049198048374381
https://github.com/ring-clojure/ring,Clojure,159,https://github.com/ring-clojure/ring,Clojure,7309,ring-clojure,3661,8.205491613120236,5.0689042022202315,7.769489111051929
https://github.com/babashka/babashka,Clojure,118,https://github.com/babashka/babashka,Clojure,11154,babashka,3632,8.197538739721184,4.770684624465665,7.5076625013969736
https://github.com/swannodette/mori,Clojure,24,https://github.com/swannodette/mori,Clojure,1643,swannodette,3388,8.127995055771946,3.1780538303479458,6.109387028017071
https://github.com/magomimmo/modern-cljs,Clojure,86,https://github.com/magomimmo/modern-cljs,Clojure,34172,magomimmo,2928,7.982074875081202,4.454347296253507,7.229929125282878
https://github.com/quil/quil,Clojure,58,https://github.com/quil/quil,Clojure,10385,quil,2903,7.97349996402463,4.060443010546419,6.884094608207265
https://github.com/bhauman/lein-figwheel,Clojure,105,https://github.com/bhauman/lein-figwheel,Clojure,3739,bhauman,2885,7.9672801789422,4.653960350157523,7.405182572893796
https://github.com/swarmpit/swarmpit,Clojure,21,https://github.com/swarmpit/swarmpit,Clojure,6845,swarmpit,2805,7.9391588179567965,3.044522437723423,5.992151023336799
https://github.com/Engelberg/instaparse,Clojure,30,https://github.com/Engelberg/instaparse,Clojure,1174,Engelberg,2676,7.892078421248119,3.4011973816621555,6.305299449149427
https://github.com/pedestal/pedestal,Clojure,123,https://github.com/pedestal/pedestal,Clojure,5273,pedestal,2626,7.873217054862741,4.812184355372417,7.544097848555336
https://github.com/razum2um/awesome-clojure,Clojure,124,https://github.com/razum2um/awesome-clojure,Clojure,205,razum2um,2603,7.864419904994565,4.820281565605037,7.551206922744338
https://github.com/weavejester/hiccup,Clojure,40,https://github.com/weavejester/hiccup,Clojure,464,weavejester,2587,7.8582541821860294,3.6888794541139363,6.557874488842332
https://github.com/clojure-cookbook/clojure-cookbook,Clojure,124,https://github.com/clojure-cookbook/clojure-cookbook,Clojure,11402,clojure-cookbook,2553,7.845024417241484,4.820281565605037,7.551206922744338
https://github.com/clj-commons/aleph,Clojure,104,https://github.com/clj-commons/aleph,Clojure,3426,clj-commons,2495,7.822044008185619,4.6443908991413725,7.396780921551241
https://github.com/redplanetlabs/specter,Clojure,26,https://github.com/redplanetlabs/specter,Clojure,1978,redplanetlabs,2471,7.81237820598861,3.258096538021482,6.1796617931265985
https://github.com/xtdb/xtdb,Clojure,82,https://github.com/xtdb/xtdb,Clojure,206716,xtdb,2384,7.776535028185241,4.406719247264253,7.18811332403592
https://github.com/plumatic/schema,Clojure,81,https://github.com/plumatic/schema,Clojure,3280,plumatic,2382,7.775695749915245,4.394449154672439,7.17734060157532
https://github.com/jepsen-io/maelstrom,Clojure,34,https://github.com/jepsen-io/maelstrom,Clojure,1233,jepsen-io,2305,7.742835955430749,3.5263605246161616,6.415188416266054
https://github.com/incanter/incanter,Clojure,133,https://github.com/incanter/incanter,Clojure,42571,incanter,2220,7.705262474866325,4.890349128221754,7.612723850991817
https://github.com/thheller/shadow-cljs,Clojure,62,https://github.com/thheller/shadow-cljs,Clojure,8604,thheller,2159,7.677400430514807,4.127134385045092,6.942647358532017
https://github.com/onyx-platform/onyx,Clojure,65,https://github.com/onyx-platform/onyx,Clojure,17013,onyx-platform,2046,7.6236419465115715,4.174387269895637,6.984133778471276
https://github.com/clojure/core.async,Clojure,41,https://github.com/clojure/core.async,Clojure,1474,clojure,1923,7.56164174558878,3.713572066704308,6.5795537598235985
https://github.com/anmonteiro/lumo,Clojure,24,https://github.com/anmonteiro/lumo,Clojure,20392,anmonteiro,1888,7.543273346705446,3.1780538303479458,6.109387028017071
https://github.com/walmartlabs/lacinia,Clojure,71,https://github.com/walmartlabs/lacinia,Clojure,3617,walmartlabs,1791,7.490529402060711,4.2626798770413155,7.0616516737101165
https://github.com/boot-clj/boot,Clojure,91,https://github.com/boot-clj/boot,Clojure,3062,boot-clj,1751,7.467942332285852,4.51085950651685,7.279544916870968
